Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.558071832973242,0.9313173330840597,0.3702378556132317,0.5520619061511604,0.5643142568095904,0.9226426117641561,0.9367624033091071
energy,0.5807346090725276,0.921361968638265,2.729571294784546,0.574451823336256,0.5873292125882248,0.9132241592858311,0.9298695987474002
react_energy,0.5729956695932862,0.9221565282419201,1.9904797554016114,,,,
logit_norm,0.4757836188966029,0.9659741534434811,45.530201530456544,,,,
mahalanobis,0.626269503360372,0.8629618377696244,-43.69270324707031,0.6200551260791916,0.6331855879775254,0.851506742071931,0.8759108223691897
knn,0.6489631159486429,0.8601107709565096,-0.3324019894003868,0.6420127861659568,0.6562644343748552,0.8536596480568344,0.8692289266434531
vim,0.5975554041859165,0.8923605431048585,-13.295848655700684,,,,
