Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.5768171799815789,0.9417634549321119,0.23531975969672203,0.569749582595483,0.5841930585043953,0.9356874109041621,0.9467189362249071
energy,0.5948161056665479,0.9209646888364376,4.8390504121780396,0.587745517131435,0.6025394217320864,0.9145825056670795,0.9273451193007876
react_energy,0.5580030220078721,0.9148185366081653,4.277906012535095,,,,
logit_norm,0.564207642468653,0.8594797971536071,39.70728816986084,,,,
mahalanobis,0.6517916648717856,0.8415554672711552,-57.190819549560544,0.6454451020648165,0.6580601545037503,0.8292853637447126,0.8525402537916852
knn,0.662617815852923,0.8688041877964993,-0.23790888860821724,0.6560061417157486,0.66953952031715,0.8584503750788717,0.8771271996447851
vim,0.6147376629553158,0.876001963029609,-7.763085532188415,,,,
