Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.8080592910433988,0.6268135537423284,0.9992403566837311,0.8053941508506495,0.8105074796983424,0.6194990829355469,0.6345174830107931
energy,0.7938030571575744,0.638276859406965,3.6129183411598205,0.7910609448181878,0.7963661455046169,0.6309512192254333,0.646860523902462
react_energy,0.8117016862637892,0.6226514919933219,3.5525731444358826,,,,
logit_norm,0.8093579072516869,0.627083970183648,5.082152462005615,,,,
mahalanobis,0.8563945898368205,0.5453006325393279,-59.57346611022949,0.8540739887750061,0.8587571496198811,0.5350248077691819,0.5545080184353469
knn,0.8572482634813814,0.5062313353869307,-0.06948013231158257,0.8550926616507222,0.8593924398731908,0.49906882686293413,0.5129347238225127
vim,0.7910300053576004,0.621428739389094,-9.61786503791809,,,,
