Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.8147695642588753,0.7208126601923484,0.9990520417690277,0.8121261804759498,0.8174907626604769,0.7117475368589367,0.7278949255766924
energy,0.8271667735701693,0.7128412537917088,3.457601821422577,0.824487678626266,0.8298064655466515,0.7038407952594823,0.7207306534672091
react_energy,0.8437506801750542,0.6910315799374515,3.3569538831710815,,,,
logit_norm,0.8227981968014544,0.7208361746655066,4.926685500144958,,,,
mahalanobis,0.9299145487128375,0.4243656970865568,-51.6016342163086,0.9282453786221503,0.9314408059581821,0.4134635055376584,0.43373768429468335
knn,0.9254684253315842,0.4339243304253768,-0.23608458638191224,0.9238061310128071,0.9271111701309478,0.4238222188256872,0.4446719143132598
vim,0.8074951162275005,0.7019422954828697,-19.153388500213623,,,,
