backbone,seed,epoch,id_val_acc,msp_auroc
effb3,44,1,0.9920441001191895,0.7854050249238
effb3,44,2,0.9926102502979738,0.6948282685685232
effb3,44,3,0.9908224076281287,0.7639737023409064
effb3,44,4,0.9938319427890345,0.6782282132800832
effb3,44,5,0.9926400476758045,0.6020129210558598
effb3,44,6,0.9946364719904648,0.6856833575307258
effb3,44,7,0.9943682955899881,0.6490511083290478
effb3,44,8,0.9960071513706794,0.6464553427643654
effb3,44,9,0.9960965435041716,0.6803269490254147
effb3,44,10,0.9963051251489868,0.6434150573149168
