Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.6007479595869446,0.8673078279681143,0.9946443110704422,0.597127554935793,0.6042921729702575,0.8624517953300256,0.8727399651985798
energy,0.6063707513039531,0.8646506925012345,2.6177379727363586,0.602745367567335,0.6099134057542438,0.8600065840524843,0.8702356738072283
react_energy,0.6929380892438999,0.860488630752228,2.474708926677704,,,,
logit_norm,0.6007435663882943,0.8673313424412726,3.694140577316284,,,,
mahalanobis,0.8778437583003078,0.5254896889035201,-100.26812133789062,0.8756572322924175,0.8800863198065952,0.5160465704140899,0.5374365109224728
knn,0.8828749206877,0.7025419145484045,-0.010036770021542907,0.880476874080564,0.885206654895265,0.6904078585369294,0.7146201236861288
vim,0.7735533184583037,0.717379547111247,-8.09047884941101,,,,
