backbone,seed,epoch,id_val_acc,msp_auroc
densenet121,43,1,0.9893921334922526,0.8501520596758652
densenet121,43,2,0.990554231227652,0.7746232129736103
densenet121,43,3,0.9902860548271752,0.6642823602802377
densenet121,43,4,0.991507747318236,0.8210602945354523
densenet121,43,5,0.9922824791418355,0.9017721278759652
densenet121,43,6,0.9945172824791418,0.8453873588000029
densenet121,43,7,0.9947258641239571,0.8860947303112741
densenet121,43,8,0.9943384982121574,0.86692808674335
densenet121,43,9,0.9957091775923719,0.89445472984659
densenet121,43,10,0.9962157330154946,0.8654790749495945
