backbone,arch,seed,train_frac,ood_split,mahalanobis_auroc,msp_auroc,auroc_delta_maha_minus_msp,cvid_gap_vs_id,cvid_gap_vs_id_CI_low,cvid_gap_vs_id_CI_high,logit_gap_mean_gap_vs_id,logit_gap_mean_gap_vs_id_CI_low,logit_gap_mean_gap_vs_id_CI_high,feature_silhouette_cosine,silhouette_perm_p_value,n_id,n_ood,logit_gap_estimator,cvid_status,input_size
resnet18,resnet18,43,1.0,test,0.94130993198796,0.7123386473426838,0.228971284645276,0.1339471196894129,0.1302097049316757,0.1376834788024748,-2.8864034563252448,-2.9322006738320106,-2.842793607849025,0.2902722574007588,0.0009990009990009,33560,85054,trim_1pct,appendix,224
densenet121,densenet121,43,1.0,test,0.983463768008506,0.8654790749495945,0.1179846930589115,0.1912030161653201,0.1873825518612913,0.1950389001988863,-4.623912614067256,-4.661641089580905,-4.587570354162069,0.2422792876277799,0.0009990009990009,33560,85054,trim_1pct,appendix,224
resnet50,resnet50,43,1.0,test,0.9641865722590932,0.6208864186344717,0.3433001536246215,0.3046262887259487,0.300269678532697,0.308643068904085,-1.9726892317648976,-2.027765335223215,-1.9219544899585648,0.1372117450563086,0.0009990009990009,33560,85054,trim_1pct,appendix,224
effb3,effb3,43,1.0,test,0.9307853861360965,0.7310925295779982,0.19969285655809832,0.28388370067750207,0.27925956953602665,0.28851049885062596,-4.795153040465743,-4.8659545242445725,-4.72064757438664,0.1508459413762272,0.000999000999000999,33560,85054,trim_1pct,appendix,300
