backbone,seed,epoch,id_val_acc,msp_auroc
regnet_y_3_2gf,43,1,0.9855780691299165,0.7544076440058988
regnet_y_3_2gf,43,2,0.9923718712753278,0.766270942349939
regnet_y_3_2gf,43,3,0.9942789034564958,0.7618584339450563
regnet_y_3_2gf,43,4,0.9941895113230036,0.8117022341874487
regnet_y_3_2gf,43,5,0.9944278903456496,0.7923184746433123
regnet_y_3_2gf,43,6,0.9955005959475566,0.8070768180282187
regnet_y_3_2gf,43,7,0.9962753277711561,0.8060121985043058
regnet_y_3_2gf,43,8,0.9963349225268177,0.7781618365677974
regnet_y_3_2gf,43,9,0.9962753277711561,0.7832169171892285
regnet_y_3_2gf,43,10,0.9962455303933254,0.7781496841535405
