Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.8654790749495945,0.6247677945775625,0.9968020766973495,0.8629717373050152,0.8679672324371408,0.6123151174547934,0.639313259811414
energy,0.8622778551426055,0.633044889129259,2.880479121208191,0.8596732414735232,0.8647828039854186,0.618834211206998,0.6453470736238155
react_energy,0.8814528540208334,0.595750934700308,2.3526763916015625,,,,
logit_norm,0.8655062462176101,0.624720765631246,4.06080322265625,,,,
mahalanobis,0.9834637680085061,0.09533943142003903,-33.3848461151123,0.9828507235389727,0.9840718123462081,0.09162385073012438,0.09968960895431138
knn,0.9607725613592519,0.23860135913654854,-0.03171676639467478,0.9595858189530465,0.9619784588034836,0.22856861523267571,0.24846891386648481
vim,0.9324402902294169,0.26791214992828083,-5.167591571807861,,,,
