domain,protocol,method,rank_by_ood_auroc,rank_by_coverage@10,rank_by_aurc_lower_better,auroc_vs_coverage10_disagree,auroc_vs_aurc_disagree
midog,id_selective,energy,regnet_y_3_2gf>convnext_tiny>effb3>resnet50>efficientnet_v2_s_224>mobilenet_v3_large>densenet121>resnet18,convnext_tiny>resnet50>densenet121>efficientnet_v2_s_224>regnet_y_3_2gf>mobilenet_v3_large>effb3>resnet18,convnext_tiny>resnet50>densenet121>regnet_y_3_2gf>efficientnet_v2_s_224>effb3>mobilenet_v3_large>resnet18,True,True
midog,id_selective,mahalanobis,densenet121>regnet_y_3_2gf>resnet50>convnext_tiny>resnet18>mobilenet_v3_large>effb3>efficientnet_v2_s_224,convnext_tiny>mobilenet_v3_large>resnet18>regnet_y_3_2gf>efficientnet_v2_s_224>resnet50>effb3>densenet121,convnext_tiny>mobilenet_v3_large>efficientnet_v2_s_224>resnet50>resnet18>densenet121>regnet_y_3_2gf>effb3,True,True
midog,id_selective,msp,regnet_y_3_2gf>convnext_tiny>resnet50>efficientnet_v2_s_224>effb3>mobilenet_v3_large>densenet121>resnet18,convnext_tiny>resnet50>densenet121>efficientnet_v2_s_224>regnet_y_3_2gf>resnet18>mobilenet_v3_large>effb3,convnext_tiny>resnet50>regnet_y_3_2gf>densenet121>efficientnet_v2_s_224>resnet18>mobilenet_v3_large>effb3,True,True
midog,ood_triage,energy,regnet_y_3_2gf>convnext_tiny>effb3>resnet50>efficientnet_v2_s_224>mobilenet_v3_large>densenet121>resnet18,efficientnet_v2_s_224>convnext_tiny>effb3>mobilenet_v3_large>densenet121>regnet_y_3_2gf>resnet18>resnet50,convnext_tiny>efficientnet_v2_s_224>effb3>densenet121>mobilenet_v3_large>regnet_y_3_2gf>resnet18>resnet50,True,True
midog,ood_triage,mahalanobis,densenet121>regnet_y_3_2gf>resnet50>convnext_tiny>resnet18>mobilenet_v3_large>effb3>efficientnet_v2_s_224,convnext_tiny>densenet121>resnet18>regnet_y_3_2gf>resnet50>efficientnet_v2_s_224>effb3>mobilenet_v3_large,convnext_tiny>efficientnet_v2_s_224>mobilenet_v3_large>resnet18>resnet50>densenet121>effb3>regnet_y_3_2gf,True,True
midog,ood_triage,msp,regnet_y_3_2gf>convnext_tiny>resnet50>efficientnet_v2_s_224>effb3>mobilenet_v3_large>densenet121>resnet18,efficientnet_v2_s_224>effb3>convnext_tiny>mobilenet_v3_large>regnet_y_3_2gf>resnet18>resnet50>densenet121,efficientnet_v2_s_224>effb3>convnext_tiny>mobilenet_v3_large>regnet_y_3_2gf>resnet18>resnet50>densenet121,True,True
