domain,model,protocol,method,ood_auroc,aurc,coverage_at_risk10,coverage_at_risk15,full_risk,n
camelyon17,convnext_tiny,id_selective,msp,0.8456347543899265,4.246920045334949e-05,1.0,1.0,0.0030691299165673813,33560
camelyon17,convnext_tiny,ood_triage,msp,0.8456347543899265,0.12126943413363721,0.36989442001551953,0.5017518282502881,0.21761469184282922,85054
camelyon17,convnext_tiny,id_selective,energy,0.8769184352292436,4.2462940515343755e-05,1.0,1.0,0.0030691299165673813,33560
camelyon17,convnext_tiny,ood_triage,energy,0.8769184352292436,0.11304705871699572,0.4069649869494674,0.5204693488842382,0.21761469184282922,85054
camelyon17,convnext_tiny,id_selective,mahalanobis,0.9283411458115103,0.00042309611110000705,1.0,1.0,0.0030691299165673813,33560
camelyon17,convnext_tiny,ood_triage,mahalanobis,0.9283411458115103,0.12005579199428845,0.30501798857196605,0.6907376490229736,0.21761469184282922,85054
camelyon17,densenet121,id_selective,msp,0.8826714444722252,5.7921559095267556e-05,1.0,1.0,0.003635280095351634,33560
camelyon17,densenet121,ood_triage,msp,0.8826714444722252,0.3045687764752376,0.07842076798269335,0.12494415312624921,0.4366520093117314,85054
camelyon17,densenet121,id_selective,energy,0.8773582061503491,5.67024049110765e-05,1.0,1.0,0.003635280095351634,33560
camelyon17,densenet121,ood_triage,energy,0.8773582061503491,0.2975830977491305,0.09176523149998825,0.14428480729889248,0.4366520093117314,85054
camelyon17,densenet121,id_selective,mahalanobis,0.9883449249082537,0.00020537902146754446,1.0,1.0,0.003635280095351634,33560
camelyon17,densenet121,ood_triage,mahalanobis,0.9883449249082537,0.17484227367365562,0.3884708538105204,0.5139558398194088,0.4366520093117314,85054
camelyon17,effb3,id_selective,msp,0.8025890589300444,6.30858162778553e-05,1.0,1.0,0.0037246722288438727,33560
camelyon17,effb3,ood_triage,msp,0.8025890589300444,0.29537628685433315,0.10652056340677687,0.1263197498060056,0.3579373104145601,85054
camelyon17,effb3,id_selective,energy,0.8024176161043928,6.163426535486353e-05,1.0,1.0,0.0037246722288438727,33560
camelyon17,effb3,ood_triage,energy,0.8024176161043928,0.29425840062053593,0.10790791732311238,0.12808333529287277,0.3579373104145601,85054
camelyon17,effb3,id_selective,mahalanobis,0.9761886776382376,0.0004745330911013885,1.0,1.0,0.0037246722288438727,33560
camelyon17,effb3,ood_triage,mahalanobis,0.9761886776382376,0.14262705096022926,0.5124626707738613,0.5968090859924283,0.3579373104145601,85054
camelyon17,efficientnet_v2_s_224,id_selective,msp,0.7782816365375451,4.881490503270862e-05,1.0,1.0,0.0037246722288438727,33560
camelyon17,efficientnet_v2_s_224,ood_triage,msp,0.7782816365375451,0.051127326941229054,0.7798222305829238,0.9293272509229431,0.17415994544642233,85054
camelyon17,efficientnet_v2_s_224,id_selective,energy,0.7864335871121404,4.817736178428792e-05,1.0,1.0,0.0037246722288438727,33560
camelyon17,efficientnet_v2_s_224,ood_triage,energy,0.7864335871121404,0.05164232358028262,0.7777059279986832,0.9279163825334493,0.17415994544642233,85054
camelyon17,efficientnet_v2_s_224,id_selective,mahalanobis,0.8800916610068908,7.531498288012643e-05,1.0,1.0,0.0037246722288438727,33560
camelyon17,efficientnet_v2_s_224,ood_triage,mahalanobis,0.8800916610068908,0.05805986924135093,0.7375549650810074,0.9071413454981541,0.17415994544642233,85054
camelyon17,mobilenet_v3_large,id_selective,msp,0.7705243528524107,5.742189734173957e-05,1.0,1.0,0.0034862932061978658,33560
camelyon17,mobilenet_v3_large,ood_triage,msp,0.7705243528524107,0.029240820202712525,0.9035201166317869,1.0,0.1350201048745503,85054
camelyon17,mobilenet_v3_large,id_selective,energy,0.7796698181198943,6.499784084353925e-05,1.0,1.0,0.0034862932061978658,33560
camelyon17,mobilenet_v3_large,ood_triage,energy,0.7796698181198943,0.02823604662498448,0.9083053119194865,1.0,0.1350201048745503,85054
camelyon17,mobilenet_v3_large,id_selective,mahalanobis,0.8696862212866632,9.242214194068904e-05,1.0,1.0,0.0034862932061978658,33560
camelyon17,mobilenet_v3_large,ood_triage,mahalanobis,0.8696862212866632,0.03799558625146797,0.8316011004773438,1.0,0.1350201048745503,85054
camelyon17,regnet_y_3_2gf,id_selective,msp,0.7835737659603085,4.864826876082143e-05,1.0,1.0,0.003516090584028575,33560
camelyon17,regnet_y_3_2gf,ood_triage,msp,0.7835737659603085,0.11448460411170065,0.4402614809415195,0.6138453217955652,0.24768970301220405,85054
camelyon17,regnet_y_3_2gf,id_selective,energy,0.8001330298387452,4.9541351890176644e-05,1.0,1.0,0.003516090584028575,33560
camelyon17,regnet_y_3_2gf,ood_triage,energy,0.8001330298387452,0.11385028039376248,0.4485385754932161,0.6142803395489924,0.24768970301220405,85054
camelyon17,regnet_y_3_2gf,id_selective,mahalanobis,0.9641095451930938,0.00018227808645221558,1.0,1.0,0.003516090584028575,33560
camelyon17,regnet_y_3_2gf,ood_triage,mahalanobis,0.9641095451930938,0.09604856945946073,0.5644884426364427,0.7389893479436593,0.24768970301220405,85054
camelyon17,resnet18,id_selective,msp,0.5743335363500264,7.638196041471317e-05,1.0,1.0,0.004618593563766371,33560
camelyon17,resnet18,ood_triage,msp,0.5743335363500264,0.34218107186213015,0.14456698097679122,0.18043830977966938,0.4985891316105062,85054
camelyon17,resnet18,id_selective,energy,0.5691424314029707,7.527463354654269e-05,1.0,1.0,0.004618593563766371,33560
