domain,model,ood_auroc,coverage_at_risk10,aurc,full_risk,n
camelyon17,convnext_tiny,0.8456347543899265,0.36989442001551953,0.12126943413363721,0.21761469184282922,85054
camelyon17,densenet121,0.8826714444722252,0.07842076798269335,0.3045687764752376,0.4366520093117314,85054
camelyon17,effb3,0.8025890589300444,0.10652056340677687,0.29537628685433315,0.3579373104145601,85054
camelyon17,efficientnet_v2_s_224,0.7782816365375451,0.7798222305829238,0.051127326941229054,0.17415994544642233,85054
camelyon17,mobilenet_v3_large,0.7705243528524107,0.9035201166317869,0.029240820202712525,0.1350201048745503,85054
camelyon17,regnet_y_3_2gf,0.7835737659603085,0.4402614809415195,0.11448460411170065,0.24768970301220405,85054
camelyon17,resnet18,0.5743335363500264,0.14456698097679122,0.34218107186213015,0.4985891316105062,85054
camelyon17,resnet50,0.5149744715920921,0.14914054600606674,0.34631133905660955,0.45027864650692506,85054
