domain,protocol,method,rank_by_ood_auroc,rank_by_coverage@10,rank_by_aurc_lower_better,auroc_vs_coverage10_disagree,auroc_vs_aurc_disagree
camelyon17,id_selective,energy,densenet121>convnext_tiny>effb3>regnet_y_3_2gf>efficientnet_v2_s_224>mobilenet_v3_large>resnet18>resnet50,convnext_tiny>densenet121>effb3>efficientnet_v2_s_224>mobilenet_v3_large>regnet_y_3_2gf>resnet18>resnet50,convnext_tiny>efficientnet_v2_s_224>regnet_y_3_2gf>densenet121>effb3>mobilenet_v3_large>resnet18>resnet50,True,True
camelyon17,id_selective,mahalanobis,densenet121>effb3>regnet_y_3_2gf>resnet18>convnext_tiny>resnet50>efficientnet_v2_s_224>mobilenet_v3_large,convnext_tiny>densenet121>effb3>efficientnet_v2_s_224>mobilenet_v3_large>regnet_y_3_2gf>resnet18>resnet50,efficientnet_v2_s_224>mobilenet_v3_large>resnet50>regnet_y_3_2gf>resnet18>densenet121>convnext_tiny>effb3,True,True
camelyon17,id_selective,msp,densenet121>convnext_tiny>effb3>regnet_y_3_2gf>efficientnet_v2_s_224>mobilenet_v3_large>resnet18>resnet50,convnext_tiny>densenet121>effb3>efficientnet_v2_s_224>mobilenet_v3_large>regnet_y_3_2gf>resnet18>resnet50,convnext_tiny>regnet_y_3_2gf>efficientnet_v2_s_224>mobilenet_v3_large>densenet121>effb3>resnet18>resnet50,True,True
camelyon17,ood_triage,energy,densenet121>convnext_tiny>effb3>regnet_y_3_2gf>efficientnet_v2_s_224>mobilenet_v3_large>resnet18>resnet50,mobilenet_v3_large>efficientnet_v2_s_224>regnet_y_3_2gf>convnext_tiny>resnet50>resnet18>effb3>densenet121,mobilenet_v3_large>efficientnet_v2_s_224>convnext_tiny>regnet_y_3_2gf>effb3>densenet121>resnet18>resnet50,True,True
camelyon17,ood_triage,mahalanobis,densenet121>effb3>regnet_y_3_2gf>resnet18>convnext_tiny>resnet50>efficientnet_v2_s_224>mobilenet_v3_large,mobilenet_v3_large>efficientnet_v2_s_224>regnet_y_3_2gf>effb3>densenet121>convnext_tiny>resnet18>resnet50,mobilenet_v3_large>efficientnet_v2_s_224>regnet_y_3_2gf>convnext_tiny>effb3>densenet121>resnet18>resnet50,True,True
camelyon17,ood_triage,msp,densenet121>convnext_tiny>effb3>regnet_y_3_2gf>efficientnet_v2_s_224>mobilenet_v3_large>resnet18>resnet50,mobilenet_v3_large>efficientnet_v2_s_224>regnet_y_3_2gf>convnext_tiny>resnet50>resnet18>effb3>densenet121,mobilenet_v3_large>efficientnet_v2_s_224>regnet_y_3_2gf>convnext_tiny>effb3>densenet121>resnet18>resnet50,True,True
