domain,fm,n_train,n_val,n_ood,n_cls_probe,linear_train_acc,linear_val_acc,linear_ood_acc,mismatch_severity,upsample_factor,msp_auroc,msp_id_mean,msp_ood_mean,msp_below_chance,msp_ood_more_confident,msp_sum_to_one,energy_auroc,energy_id_mean,energy_ood_mean,energy_below_chance,energy_ood_more_confident,energy_sum_to_one,logit_norm_auroc,logit_norm_id_mean,logit_norm_ood_mean,logit_norm_below_chance,logit_norm_ood_more_confident,logit_norm_sum_to_one,logit_family_all_below_chance,sign_bug_suspected
midog,uni,1896,251,5902,3,1.0,0.8366533864541833,0.6904439173161641,severe,4.48,0.44541859670771344,0.9437536213782711,0.9475879826308765,True,True,True,0.34740131308044675,7.100777919648354,8.987968169545056,True,True,True,0.32000564330276315,10.37064444876287,13.980465033695339,True,True,True,True,False
midog,gigapath,1896,251,5902,3,1.0,0.8247011952191236,0.7094205354117248,severe,4.48,0.46981373050664166,0.932553332536505,0.9448905010214597,True,True,True,0.40521546480968706,6.818047566843617,7.683068638755081,True,True,True,0.38189296355749486,9.995029989229256,11.805076256775626,True,True,True,True,False
camelyon17,uni,302436,33560,85054,2,0.9951791453398405,0.9943682955899881,0.9720765631246032,moderate,2.333,0.5369589894976068,0.9978737352653587,0.9895088853732331,False,False,True,0.5367375481125319,10.820110616314183,10.381329480498083,False,False,True,0.5367375479373644,15.298393576126616,14.663870660996407,False,False,True,False,False
