Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.8482762946960667,0.9666,0.9958311021327972,0.844740290636174,0.8518063283671038,0.9619,0.9714
energy,0.8552159356376638,0.9584,2.7790310382843018,0.8516884779126936,0.8586043949269964,0.9527975,0.9630025
react_energy,0.8634960533373063,0.9414,2.639904844760895,,,,
logit_norm,0.8481906153158522,0.9672,3.8728297352790833,,,,
mahalanobis,0.9978609356376639,0.0019,-49.54486217498779,0.9976229685637664,0.9980974654350419,0.001,0.0029
knn,0.9796447854588795,0.0591,-0.050241890363395214,0.9784875549761621,0.98083290181764,0.0499975,0.0672
vim,0.8725533849821215,0.426,-10.13798098564148,,,,
