Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.6895915852205006,0.9819,0.9965165674686431,0.6843574216328964,0.6951468825238378,0.9788975,0.9847025
energy,0.6852266850417164,0.982,2.8010599970817567,0.6799820037246721,0.6907824773167462,0.9792974999999999,0.9849
react_energy,0.788607389749702,0.983,2.6260080456733705,,,,
logit_norm,0.6896073837902263,0.9819,4.000617372989654,,,,
mahalanobis,0.9100267848629321,0.6528,-33.13710708618164,0.9074590911799761,0.9124517326802741,0.6366,0.6662
knn,0.8491140077473183,0.7593,-0.010402201907709241,0.8451820987410609,0.8526459369040523,0.7479975,0.7740075
vim,0.8337388751489869,0.6053,-10.813192129135132,,,,
