Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.5147385190703218,0.9988,0.9993352383375168,0.5096007840435042,0.5202816494338498,0.998,0.9995
energy,0.5838911784862932,0.9986,3.5581482887268066,0.5792562124553039,0.5890027390867103,0.9978,0.9994
react_energy,0.6981051579261025,0.9977,3.4547641396522524,,,,
logit_norm,0.5805375551251489,0.9988,5.179114818572998,,,,
mahalanobis,0.8248228471394518,0.9483,-51.42083892822266,0.8209771777786055,0.8285710593712753,0.9402975,0.9541
knn,0.8589751743146603,0.8926,-0.22736319303512573,0.8557289943012515,0.8624453672526817,0.8788,0.904
vim,0.70374936829559,0.8447,-18.84419403076172,,,,
