Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.8260527883666866,0.7130411268135537,0.9971139430999756,0.8234050855115799,0.8285976556595764,0.7041861640839937,0.7208620405859807
energy,0.8312372297702871,0.7082206598161168,2.959390377998352,0.8286131082190847,0.8337233604001081,0.7001775342723446,0.7171696804383098
react_energy,0.8755903115451887,0.6898088273332236,2.300809550285339,,,,
logit_norm,0.8260732321551423,0.7130411268135537,4.133156251907349,,,,
mahalanobis,0.9891053637718425,0.0635713781832718,-32.998311614990236,0.9886474130047173,0.989572717512415,0.05956098478613587,0.06719319491146801
knn,0.9710711235599243,0.16316692924495027,-0.030671479925513268,0.9700386503650222,0.9721918974070473,0.15466438968184917,0.17276112822442213
vim,0.8820008736719823,0.4570037858301785,-7.394901895523071,,,,
