backbone,seed,epoch,id_val_acc,msp_auroc
efficientnet_v2_s,46,1,0.9851907032181169,0.7519043512439535
efficientnet_v2_s,46,2,0.9902860548271752,0.7917658689341943
efficientnet_v2_s,46,3,0.9942491060786651,0.8372988230319529
efficientnet_v2_s,46,4,0.9928486293206198,0.7625984129047876
efficientnet_v2_s,46,5,0.9926400476758045,0.7243037934492602
efficientnet_v2_s,46,6,0.9927294398092967,0.8695149823558773
efficientnet_v2_s,46,7,0.9961859356376639,0.7772555373781609
efficientnet_v2_s,46,8,0.9966924910607866,0.8434930104910144
efficientnet_v2_s,46,9,0.9962753277711561,0.8273642147428573
efficientnet_v2_s,46,10,0.9968712753277712,0.8352565162416765
