backbone,seed,epoch,id_val_acc,msp_auroc
resnet50,46,1,0.9797377830750894,0.6313503448261558
resnet50,46,2,0.9850715137067938,0.8439349713550836
resnet50,46,3,0.9895113230035757,0.848679900735011
resnet50,46,4,0.9911799761620977,0.6718992772396464
resnet50,46,5,0.9918355184743742,0.6887912449884954
resnet50,46,6,0.9928784266984505,0.5721318867732994
resnet50,46,7,0.9935339690107271,0.6134099116671389
resnet50,46,8,0.9928188319427891,0.6299601624816463
resnet50,46,9,0.9949642431466031,0.6784759154129748
resnet50,46,10,0.9957985697258641,0.6610745522517799
