backbone,seed,epoch,id_val_acc,msp_auroc
resnet18,46,1,0.9876936829558999,0.7702925072238338
resnet18,46,2,0.9898092967818832,0.7951215291173219
resnet18,46,3,0.9893325387365912,0.6010877118436124
resnet18,46,4,0.9910011918951133,0.6014761364672399
resnet18,46,5,0.991507747318236,0.6853340269448956
resnet18,46,6,0.9932657926102503,0.47064168050932964
resnet18,46,7,0.9912991656734207,0.5703336216425416
resnet18,46,8,0.9947258641239571,0.5154589214135377
resnet18,46,9,0.9952324195470799,0.5810946920196783
resnet18,46,10,0.9951132300357568,0.5449541282796629
