split,n_samples,logit_norm_mean,logit_norm_std,logit_norm_median,cvid_logit_norm,logit_gap_mean,logit_gap_std,feature_silhouette_cosine,silhouette_n_id,silhouette_n_ood,silhouette_perm_p_value,silhouette_perm_null_mean,silhouette_perm_null_std,cvid_gap_vs_id,logit_norm_mean_gap_vs_id,logit_gap_mean_gap_vs_id,cvid_gap_vs_id_CI_low,cvid_gap_vs_id_CI_high,logit_gap_mean_gap_vs_id_CI_low,logit_gap_mean_gap_vs_id_CI_high
ID,33560,7.884894753653991,2.2961096452168475,8.145225513389363,0.2688213541981173,11.171276016683338,3.0030023456315105,0.10064915580414328,2500,2500,0.000999000999000999,-1.12317559464373e-05,0.00041709066334376876,0.0,0.0,0.0,,,,
OOD,85054,6.222649570618043,3.190516153037147,6.340034831563572,0.48969746746518406,8.764546525534014,4.292281858014981,0.10064915580414328,2500,2500,0.000999000999000999,-1.12317559464373e-05,0.00041709066334376876,0.22087611326706674,-1.6622451830359477,-2.406729491149324,0.2172044670788044,0.22466454268816238,-2.4526043160365103,-2.3612330447856555
