Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.7847173698708636,0.7160744938509652,0.9994353413581848,0.7818757516433575,0.7875560134360621,0.7038440284995415,0.7253218543513532
energy,0.7445853443019148,0.7298069461753709,3.8063936471939086,0.7416014620184995,0.7476663981356105,0.7198332823853082,0.7382498177628329
react_energy,0.5994793968512411,0.8250640769393561,0.9199871689081192,,,,
logit_norm,0.784087817672755,0.7167916852822912,5.292602849006653,,,,
mahalanobis,0.8991967840286446,0.48303430761633787,-46.76158275604248,0.8973085073198819,0.9011677011569288,0.4697204129141486,0.49598196439908765
knn,0.8898045879315596,0.5220213041126813,-0.1452490508556366,0.8878520691662602,0.8918158636924848,0.5120273590895196,0.5321801443788652
vim,0.8163656292687421,0.5950807722152985,-11.13463797569275,,,,
