Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.5239474563421855,0.8694358877889341,0.9945808351039886,0.520553744630103,0.5274096852772745,0.8627092788111083,0.8754123850730124
energy,0.5284486746034973,0.8667787523220543,2.6181699872016906,0.5250247580960835,0.5318952009363581,0.8602996331742188,0.8726926423213488
react_energy,0.6875105284371958,0.8608766195593388,2.4842011094093324,,,,
logit_norm,0.5238552704636665,0.8694476450255132,3.685801696777344,,,,
mahalanobis,0.9488873826788242,0.20651586051214524,-29.64309024810791,0.9475057375121821,0.9502037702208355,0.1996017236108825,0.21224339831166084
knn,0.9077640542558771,0.5771274719589907,-0.011592279840260743,0.9054780604631586,0.9099189735729972,0.5653996284713241,0.5900383873774308
vim,0.7704786821541937,0.6856585228207962,-8.951281929016114,,,,
