backbone,seed,epoch,id_val_acc,msp_auroc
convnext_tiny,45,1,0.9896901072705602,0.7288886982911761
convnext_tiny,45,2,0.9904052443384982,0.74825958951185
convnext_tiny,45,3,0.9937127532777116,0.7323551403002673
convnext_tiny,45,4,0.9944278903456496,0.7611801974686039
convnext_tiny,45,5,0.9945172824791418,0.6984161788417779
convnext_tiny,45,6,0.9951430274135876,0.7190550897791834
convnext_tiny,45,7,0.9961263408820024,0.727106118351006
convnext_tiny,45,8,0.9961263408820024,0.7009048220028653
convnext_tiny,45,9,0.9966626936829559,0.7647007592007803
convnext_tiny,45,10,0.9966924910607866,0.7640958159218096
