backbone,seed,epoch,id_val_acc,msp_auroc
mobilenet_v3_large,45,1,0.9887365911799761,0.6970828116964632
mobilenet_v3_large,45,2,0.9917163289630513,0.7907614598793901
mobilenet_v3_large,45,3,0.9935637663885578,0.717134181886776
mobilenet_v3_large,45,4,0.9936829558998808,0.7567021000792793
mobilenet_v3_large,45,5,0.9944278903456496,0.7114458418241648
mobilenet_v3_large,45,6,0.9950536352800954,0.7945146765135789
mobilenet_v3_large,45,7,0.9963051251489868,0.7976066698060404
mobilenet_v3_large,45,8,0.9962157330154946,0.7889531268265582
mobilenet_v3_large,45,9,0.9964839094159714,0.7817225496482596
mobilenet_v3_large,45,10,0.9966328963051252,0.7801318612268843
