backbone,seed,mahalanobis_auroc,msp_auroc,auroc_delta_maha_minus_msp,cvid_gap_vs_id,cvid_gap_vs_id_CI_low,cvid_gap_vs_id_CI_high,logit_gap_mean_gap_vs_id,logit_gap_mean_gap_vs_id_CI_low,logit_gap_mean_gap_vs_id_CI_high,feature_silhouette_cosine,silhouette_perm_p_value,n_id,n_ood,logit_gap_estimator,cvid_status
resnet18,42,0.9974453057775048,0.9587042140442532,0.0387410917332514,0.0705496729354085,0.0666357813281019,0.0741955643256345,-7.42418241264651,-7.491198980503883,-7.354347650829724,0.1969172441412626,0.0009990009990009,10000,26032,trim_1pct,appendix_raw_untrimmed
resnet50,42,0.998153555239705,0.964196446681008,0.0339571085586969,0.1220860214128636,0.1190166048787907,0.1249901307828859,-7.49763606170023,-7.556050990313045,-7.447014481999258,0.2335501890670776,0.0009990009990009,10000,26032,trim_1pct,appendix_raw_untrimmed
effb3,42,0.9984617393976644,0.9751717712814996,0.0232899681161649,0.283471841162247,0.2797348181785553,0.2871837305905529,-6.783074150110015,-6.822846281309582,-6.744077710876177,0.1741184025381555,0.0009990009990009,10000,26032,trim_1pct,appendix_raw_untrimmed
