Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.964196446681008,0.21546558082360173,0.914864468574524,0.9620111292351721,0.9665529931430547,0.1854573217578365,0.23648010141364473
energy,0.9808440995697604,0.08935156730178243,5.805628633499146,0.9793093282306391,0.9822591242509219,0.08036263060848187,0.0977258758451137
mahalanobis,0.998153555239705,0.0070298094652735095,-23.453713130950927,0.9978830781826215,0.9983960852508451,0.005608481868469576,0.008527965580823601
knn,0.9893867854947755,0.06165488629379225,-0.08629133589565753,0.988572982098955,0.9902011344210971,0.055238744622003684,0.06979966963736939
