Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.49962501738218257,0.9252795662487292,0.6615749895572662,0.4644470660225921,0.5324222257024089,0.8905455777702473,0.9452770247373772
energy,0.5434399305522741,0.8407319552694003,2.828905940055847,0.5090082907948011,0.5748236974163663,0.8061589291765504,0.9107082344967807
logit_norm,0.5655952941875332,0.857167062012877,3.8828306198120117,,,,
react_energy,0.5001694340901389,0.9283293798712301,1.991309404373169,,,,
mahalanobis,0.9986931298864183,0.0020332090816672314,-37.211280822753906,0.9963552600847035,0.9997468782950205,0.0,0.008641138597085733
knn,0.9932921651246589,0.01914605218569976,-0.17073950171470642,0.9876912208840004,0.9972325033988073,0.003896984073195527,0.04846662148424263
vim,0.7224797860405212,0.6138597085733649,-23.835776329040527,,,,
