backbone,arch,seed,train_frac,ood_split,mahalanobis_auroc,msp_auroc,auroc_delta_maha_minus_msp,cvid_gap_vs_id,cvid_gap_vs_id_CI_low,cvid_gap_vs_id_CI_high,logit_gap_mean_gap_vs_id,logit_gap_mean_gap_vs_id_CI_low,logit_gap_mean_gap_vs_id_CI_high,feature_silhouette_cosine,silhouette_perm_p_value,n_id,n_ood,logit_gap_estimator,cvid_status,input_size
resnet18,resnet18,42,1.0,test,0.9403196550894836,0.7734457597126896,0.1668738953767938,0.0356353672141619,0.0315400839138605,0.0396030017310167,-6.541016626812315,-6.6280305213844,-6.46006438641005,0.2394940957416443,0.0009990009990009,33560,85054,trim_1pct,appendix,224
resnet50,resnet50,42,1.0,test,0.9655968410505413,0.581340396543423,0.3842564445071184,0.01542866035267948,0.011205527428922033,0.019790557910815174,-2.747847559882649,-2.8375143698051835,-2.659104150086467,0.3235390196358089,0.000999000999000999,33560,85054,trim_1pct,appendix,224
