backbone,seed,epoch,id_val_acc,msp_auroc
resnet18,42,1,0.9873957091775923,0.7139427090951656
resnet18,42,2,0.9900476758045292,0.6830637802337899
resnet18,42,3,0.9880512514898689,0.679714322728661
resnet18,42,4,0.9927890345649583,0.6756642218574567
resnet18,42,5,0.9932359952324196,0.6075942644850766
resnet18,42,6,0.9936233611442193,0.6826846741660554
resnet18,42,7,0.9947854588796186,0.8053398749789553
resnet18,42,8,0.9954707985697259,0.7669535026587471
resnet18,42,9,0.9956495828367103,0.7768341958202927
resnet18,42,10,0.9957389749702026,0.7734457597126896
