backbone,seed,epoch,id_val_acc,msp_auroc
resnet50,42,1,0.9887365911799761,0.801496009560273
resnet50,42,2,0.9869785458879619,0.7885652707963443
resnet50,42,3,0.9907032181168057,0.6763995609828242
resnet50,42,4,0.991388557806913,0.7159541436803817
resnet50,42,5,0.9926102502979738,0.6590366542500532
resnet50,42,6,0.9942193087008343,0.5332314594124639
resnet50,42,7,0.9945768772348034,0.7384032861350117
resnet50,42,8,0.9951132300357568,0.5837772150248347
resnet50,42,9,0.9956793802145412,0.603968508767325
resnet50,42,10,0.9958283671036948,0.581340396543423
