Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.7367287165681354,0.8951261966927764,0.6099077939987183,0.6943649467660549,0.7748026837935218,0.7863250652741515,0.9556135770234987
energy,0.7437600616891462,0.8577023498694517,0.7666881322860718,0.7037242341842648,0.7813500250273948,0.7701697127937337,0.8990535248041776
react_energy,0.7389665264230667,0.8629242819843342,0.7646151065826416,,,,
logit_norm,0.7364976077418075,0.8968668407310705,0.32364040017127993,,,,
mahalanobis,0.8899764156261132,0.4621409921671018,-32.7180549621582,0.8658319692275779,0.913116327782212,0.38682550043516106,0.5801240208877284
knn,0.8492539130670057,0.4908616187989556,-0.3577898025512695,0.8208249345003765,0.8750600882948453,0.4186140121845083,0.6179830287206266
vim,0.7550719932178014,0.7406440382941688,-4.231595039367676,,,,
