Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.7202692586930739,0.8977371627502175,0.5729249119758606,0.6774139035069919,0.7612784489328409,0.8159160139251523,0.9273281114012184
energy,0.6953399441731265,0.9434290687554395,0.5924638152122498,0.6489778789395599,0.7395466095771497,0.868124456048738,0.9878154917319408
react_energy,0.7073305464990958,0.9399477806788512,0.6007056951522827,,,,
logit_norm,0.7218870204773693,0.855526544821584,0.34037122726440433,,,,
mahalanobis,0.9685218504940093,0.16057441253263707,-41.4217643737793,0.9551834327664968,0.9811303589063705,0.10443864229765012,0.29605091383812
knn,0.9551400857695586,0.28024369016536116,-0.25803367495536805,0.939556248506248,0.9690818102697998,0.16704743255004353,0.3751087902523934
vim,0.7175782500665142,0.7806788511749347,-4.108520793914795,,,,
