Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.6638724264999649,0.8127424930044442,0.9998226761817932,0.6610444231944577,0.6666932345588596,0.8045112516754063,0.81935094175465
energy,0.704182530236067,0.8127424930044442,4.318897318840027,0.7008225131927686,0.7074869737324626,0.8045112516754063,0.81935094175465
logit_norm,0.7041825307615693,0.8127424930044442,6.107592225074768,,,,
react_energy,0.5724508890488782,0.9516542431866813,-13.662859916687012,,,,
mahalanobis,0.9949458137833657,0.00043501775342723445,-54.33909530639649,0.9944398685033666,0.9954033351407224,0.00022338749500317446,0.0006936769581677522
knn,0.9887655037872174,0.0325557880875679,-0.42374352365732193,0.9881075923838878,0.9894052543808458,0.02906359489265643,0.03722546852587768
vim,0.7142577683523386,0.7714745926117526,-36.802524185180665,,,,
