backbone,seed,epoch,id_val_acc,msp_auroc
densenet121,42,1,0.9861442193087009,0.7684429147136784
densenet121,42,2,0.988528009535161,0.6312683932787508
densenet121,42,3,0.9892729439809297,0.6316236087888973
densenet121,42,4,0.9928188319427891,0.6558136352091877
densenet121,42,5,0.9924910607866507,0.6586843720933595
densenet121,42,6,0.993176400476758,0.7268143863130294
densenet121,42,7,0.9945470798569725,0.7554093941945821
densenet121,42,8,0.9958283671036948,0.7756289380611682
densenet121,42,9,0.9956495828367103,0.7598149318123719
densenet121,42,10,0.9958581644815256,0.7804995351687534
