backbone,arch,seed,train_frac,ood_split,mahalanobis_auroc,msp_auroc,auroc_delta_maha_minus_msp,cvid_gap_vs_id,cvid_gap_vs_id_CI_low,cvid_gap_vs_id_CI_high,logit_gap_mean_gap_vs_id,logit_gap_mean_gap_vs_id_CI_low,logit_gap_mean_gap_vs_id_CI_high,feature_silhouette_cosine,silhouette_perm_p_value,n_id,n_ood,logit_gap_estimator,cvid_status,input_size
resnet18,resnet18,42,1.0,test,0.8647715900699753,0.7720438858193798,0.0927277042505955,0.1393388979311349,0.1354484803257093,0.1430311275818528,-3.937279650128806,-3.982997500819476,-3.8916033381128736,0.05252304116941,0.0009990009990009,33560,85054,trim_1pct,appendix,224
resnet50,resnet50,42,1.0,test,0.753378117696132,0.5925623062771059,0.1608158114190261,0.0621737927283514,0.0580397482797775,0.0658136419559059,-1.4569698787993255,-1.5110626280372088,-1.4030668960975508,0.0470274487249506,0.0009990009990009,33560,85054,trim_1pct,appendix,224
densenet121,densenet121,42,1.0,test,0.9009539834372347,0.7804995351687534,0.12045444826848128,0.15001891833278946,0.1464808101565282,0.15347463516546483,-3.8204960674010966,-3.8653346782684883,-3.7805252496985853,0.06952222657223027,0.000999000999000999,33560,85054,trim_1pct,appendix,224
