backbone,seed,epoch,id_val_acc,msp_auroc
resnet18,42,1,0.9880512514898689,0.5586611674913502
resnet18,42,2,0.9874255065554232,0.6615278629130318
resnet18,42,3,0.9893027413587604,0.8063608895539209
resnet18,42,4,0.9904052443384982,0.6940139986577413
resnet18,42,5,0.989958283671037,0.7373031649065518
resnet18,42,6,0.9926102502979738,0.7469939168632489
resnet18,42,7,0.9934743742550656,0.677829812346937
resnet18,42,8,0.9947556615017878,0.7871369054597382
resnet18,42,9,0.9949642431466031,0.7668421052945037
resnet18,42,10,0.9952920143027414,0.7720438858193798
