domain,backbone,bn_shift,n_bn_layers,logit_gap_trim1,delta_auroc
skin_isic_pad,resnet18,0.28920578161870825,20,-2.584519909262405,0.198942987143585
camelyon17,resnet18,0.9109920810463192,20,-0.7248733002527175,0.381442136753169
midog,resnet18,0.42939496740241373,20,0.6639389020690327,0.2946732217183451
skin_isic_pad,resnet50,0.34494309351405705,53,-3.052868180227853,0.2690016549646685
camelyon17,resnet50,0.8996830489345994,53,0.2796050300651291,0.3805574675856912
midog,resnet50,0.2904742602192315,53,-0.1477238432550143,0.0540909894815857
skin_isic_pad,effb3,0.43529341332822497,78,-2.359987364215404,0.2477114589392895
camelyon17,effb3,1.7744342111260745,78,-5.574223898550388,0.0826042845864477
midog,effb3,0.46237753863564873,78,-0.1934011638153254,0.1873947787298789
