domain,backbone,ece_id,logit_gap_trim1,delta_auroc,id_split,n_id,id_acc
skin_isic_pad,resnet18,0.025754236318307432,-2.584519909262405,0.198942987143585,id_val,193,0.8704663212435233
skin_isic_pad,resnet50,0.06093814909769468,-3.052868180227853,0.2690016549646685,id_val,193,0.8549222797927462
skin_isic_pad,effb3,0.046253768713204926,-2.359987364215404,0.2477114589392895,id_val,193,0.8963730569948186
camelyon17,resnet18,0.001235502934814589,-0.7248733002527175,0.381442136753169,id_val,33560,0.9953814064362336
camelyon17,resnet50,0.0008706826385247786,0.2796050300651291,0.3805574675856912,id_val,33560,0.9953516090584028
camelyon17,effb3,0.0009268344817145367,-5.574223898550388,0.0826042845864477,id_val,33560,0.9962753277711561
midog,resnet18,0.07287783713648538,0.6639389020690327,0.2946732217183451,id_test_1a,251,0.8366533864541833
midog,resnet50,0.08132330912437469,-0.1477238432550143,0.0540909894815857,id_test_1a,251,0.8605577689243028
midog,effb3,0.04861431760029053,-0.1934011638153254,0.1873947787298789,id_test_1a,251,0.8366533864541833
