domain,method,backbone,family,family_label,auroc
camelyon17,ViM,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.73346614257792
camelyon17,ViM,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.6954997164319895
camelyon17,ViM,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.779570704370298
camelyon17,ViM,resnet18,resnet_like,ResNet-like (R18/R50),0.7148266003441744
camelyon17,ViM,resnet50,resnet_like,ResNet-like (R18/R50),0.6395462116221866
midog,Energy,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.5601740783393029
midog,Energy,densenet121,dense_connection,dense-connection (DenseNet121),0.4314547975498885
midog,Energy,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.5332468836953103
midog,Energy,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.5078985987598235
midog,Energy,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.4581389791562317
midog,Energy,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.6091587563672791
midog,Energy,resnet18,resnet_like,ResNet-like (R18/R50),0.3760687510884959
midog,Energy,resnet50,resnet_like,ResNet-like (R18/R50),0.5184008122035747
midog,kNN,convnext_tiny,modern_cnn,modern-CNN (ConvNeXt-Tiny),0.6549383624431451
midog,kNN,densenet121,dense_connection,dense-connection (DenseNet121),0.7775910927621267
midog,kNN,effb3,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.6433027631932453
midog,kNN,efficientnet_v2_s,efficientnet_like,"compound-scaled / EfficientNet-like (EffB3, EffV2-S)",0.5590069407223697
midog,kNN,mobilenet_v3_large,lightweight,lightweight (MobileNetV3-Large),0.6743773803464556
midog,kNN,regnet_y_3_2gf,nas_designed,NAS-designed (RegNetY-3.2GF),0.904703787358192
