accepted,coverage,risk
1,0.0051813471502590676,0.0
2,0.010362694300518135,0.0
3,0.015544041450777202,0.0
4,0.02072538860103627,0.0
5,0.025906735751295335,0.0
6,0.031088082901554404,0.0
7,0.03626943005181347,0.0
8,0.04145077720207254,0.0
9,0.046632124352331605,0.0
10,0.05181347150259067,0.0
11,0.05699481865284974,0.0
12,0.06217616580310881,0.0
13,0.06735751295336788,0.0
14,0.07253886010362694,0.0
15,0.07772020725388601,0.0
16,0.08290155440414508,0.0
17,0.08808290155440414,0.0
18,0.09326424870466321,0.0
19,0.09844559585492228,0.0
20,0.10362694300518134,0.0
21,0.10880829015544041,0.0
22,0.11398963730569948,0.0
23,0.11917098445595854,0.0
24,0.12435233160621761,0.0
25,0.12953367875647667,0.0
26,0.13471502590673576,0.0
27,0.13989637305699482,0.0
28,0.14507772020725387,0.0
29,0.15025906735751296,0.0
30,0.15544041450777202,0.0
31,0.16062176165803108,0.0
32,0.16580310880829016,0.0
33,0.17098445595854922,0.0
34,0.17616580310880828,0.0
35,0.18134715025906736,0.0
36,0.18652849740932642,0.0
37,0.19170984455958548,0.0
38,0.19689119170984457,0.0
39,0.20207253886010362,0.0
40,0.20725388601036268,0.0
41,0.21243523316062177,0.0
42,0.21761658031088082,0.0
43,0.22279792746113988,0.0
44,0.22797927461139897,0.0
45,0.23316062176165803,0.0
46,0.23834196891191708,0.0
47,0.24352331606217617,0.0
48,0.24870466321243523,0.020833313465118408
49,0.2538860103626943,0.020408153533935547
50,0.25906735751295334,0.019999980926513672
51,0.26424870466321243,0.019607841968536377
52,0.2694300518134715,0.019230782985687256
53,0.27461139896373055,0.018867909908294678
54,0.27979274611398963,0.018518507480621338
55,0.2849740932642487,0.018181800842285156
56,0.29015544041450775,0.017857134342193604
57,0.29533678756476683,0.01754385232925415
58,0.3005181347150259,0.017241358757019043
59,0.30569948186528495,0.016949176788330078
60,0.31088082901554404,0.016666650772094727
61,0.3160621761658031,0.016393423080444336
62,0.32124352331606215,0.016129016876220703
63,0.32642487046632124,0.0158730149269104
64,0.3316062176165803,0.015625
65,0.33678756476683935,0.01538461446762085
66,0.34196891191709844,0.015151500701904297
67,0.3471502590673575,0.014925360679626465
68,0.35233160621761656,0.014705896377563477
69,0.35751295336787564,0.01449275016784668
70,0.3626943005181347,0.014285743236541748
71,0.36787564766839376,0.01408451795578003
72,0.37305699481865284,0.013888895511627197
73,0.37823834196891193,0.01369863748550415
74,0.38341968911917096,0.013513505458831787
75,0.38860103626943004,0.013333320617675781
76,0.39378238341968913,0.013157904148101807
77,0.39896373056994816,0.012987017631530762
78,0.40414507772020725,0.012820541858673096
79,0.40932642487046633,0.012658238410949707
80,0.41450777202072536,0.012499988079071045
81,0.41968911917098445,0.012345671653747559
82,0.42487046632124353,0.012195110321044922
83,0.43005181347150256,0.012048184871673584
84,0.43523316062176165,0.011904776096343994
85,0.44041450777202074,0.011764705181121826
86,0.44559585492227977,0.011627912521362305
87,0.45077720207253885,0.011494278907775879
88,0.45595854922279794,0.011363625526428223
89,0.46113989637305697,0.011235952377319336
90,0.46632124352331605,0.011111140251159668
91,0.47150259067357514,0.010989010334014893
92,0.47668393782383417,0.01086956262588501
93,0.48186528497409326,0.010752677917480469
94,0.48704663212435234,0.010638296604156494
95,0.49222797927461137,0.010526299476623535
96,0.49740932642487046,0.010416686534881592
97,0.5025906735751295,0.010309278964996338
98,0.5077720207253886,0.010204076766967773
99,0.5129533678756477,0.010101020336151123
100,0.5181347150259067,0.009999990463256836
101,0.5233160621761658,0.009900987148284912
102,0.5284974093264249,0.009803950786590576
103,0.533678756476684,0.009708762168884277
104,0.538860103626943,0.019230782985687256
105,0.5440414507772021,0.01904761791229248
106,0.5492227979274611,0.018867909908294678
107,0.5544041450777202,0.02803736925125122
108,0.5595854922279793,0.027777791023254395
109,0.5647668393782384,0.027522921562194824
110,0.5699481865284974,0.027272701263427734
111,0.5751295336787565,0.027027010917663574
112,0.5803108808290155,0.026785731315612793
113,0.5854922279792746,0.026548683643341064
114,0.5906735751295337,0.0350877046585083
115,0.5958549222797928,0.034782588481903076
116,0.6010362694300518,0.03448277711868286
117,0.6062176165803109,0.034188032150268555
118,0.6113989637305699,0.03389829397201538
119,0.616580310880829,0.03361344337463379
120,0.6217616580310881,0.03333336114883423
121,0.6269430051813472,0.041322290897369385
122,0.6321243523316062,0.040983617305755615
123,0.6373056994818653,0.04065042734146118
124,0.6424870466321243,0.048387110233306885
125,0.6476683937823834,0.04799997806549072
126,0.6528497409326425,0.0476190447807312
127,0.6580310880829016,0.04724407196044922
128,0.6632124352331606,0.046875
129,0.6683937823834197,0.04651165008544922
130,0.6735751295336787,0.04615384340286255
131,0.6787564766839378,0.045801520347595215
132,0.6839378238341969,0.045454561710357666
133,0.689119170984456,0.045112788677215576
134,0.694300518134715,0.04477614164352417
135,0.6994818652849741,0.04444444179534912
136,0.7046632124352331,0.044117629528045654
137,0.7098445595854922,0.043795645236968994
138,0.7150259067357513,0.04347825050354004
139,0.7202072538860104,0.04316544532775879
140,0.7253886010362695,0.04285717010498047
141,0.7305699481865285,0.04964536428451538
142,0.7357512953367875,0.049295783042907715
143,0.7409326424870466,0.055944085121154785
144,0.7461139896373057,0.05555558204650879
145,0.7512953367875648,0.05517244338989258
146,0.7564766839378239,0.0547945499420166
147,0.7616580310880829,0.05442178249359131
148,0.7668393782383419,0.054054081439971924
149,0.772020725388601,0.05369126796722412
150,0.7772020725388601,0.06000000238418579
151,0.7823834196891192,0.05960267782211304
152,0.7875647668393783,0.05921053886413574
153,0.7927461139896373,0.05882352590560913
154,0.7979274611398963,0.05844157934188843
155,0.8031088082901554,0.05806452035903931
156,0.8082901554404145,0.05769228935241699
157,0.8134715025906736,0.06369423866271973
158,0.8186528497409327,0.06329113245010376
159,0.8238341968911918,0.0628930926322937
160,0.8290155440414507,0.0625
161,0.8341968911917098,0.06832295656204224
162,0.8393782383419689,0.07407408952713013
163,0.844559585492228,0.07361960411071777
164,0.8497409326424871,0.07926827669143677
165,0.8549222797927462,0.07878786325454712
166,0.8601036269430051,0.07831323146820068
167,0.8652849740932642,0.08383232355117798
168,0.8704663212435233,0.08333331346511841
169,0.8756476683937824,0.08284026384353638
170,0.8808290155440415,0.08235293626785278
171,0.8860103626943006,0.08187133073806763
172,0.8911917098445595,0.08139532804489136
173,0.8963730569948186,0.0809248685836792
174,0.9015544041450777,0.08045977354049683
175,0.9067357512953368,0.08571428060531616
176,0.9119170984455959,0.08522725105285645
177,0.917098445595855,0.08474576473236084
178,0.9222797927461139,0.08426964282989502
179,0.927461139896373,0.08379888534545898
180,0.9326424870466321,0.08333331346511841
181,0.9378238341968912,0.08287292718887329
182,0.9430051813471503,0.08241760730743408
183,0.9481865284974094,0.08196723461151123
184,0.9533678756476683,0.08695650100708008
185,0.9585492227979274,0.08648645877838135
186,0.9637305699481865,0.09139782190322876
187,0.9689119170984456,0.09625667333602905
188,0.9740932642487047,0.09574466943740845
189,0.9792746113989638,0.10052907466888428
190,0.9844559585492227,0.10000002384185791
191,0.9896373056994818,0.09947645664215088
192,0.9948186528497409,0.10416668653488159
193,1.0,0.10362696647644043
