domain,backbone,label,family,msp_auroc,energy_auroc,mahalanobis_auroc,knn_auroc,msp_rank_among_msp_energy_maha_knn,top1_among_msp_energy_maha_knn,ood_triage_msp_coverage_at_risk10,ood_triage_msp_aurc,ood_triage_msp_full_risk
camelyon17,resnet18,ResNet-18@224,resnet_like,0.5743335363500264,0.5691424314029707,0.9557756731031954,0.9355794932409622,3,Mahalanobis,0.1445669809767912,0.3421810718621301,0.4985891316105062
camelyon17,resnet50,ResNet-50@224,resnet_like,0.5149744715920921,0.5121590070325651,0.8955319391777833,0.8660602944303518,3,Mahalanobis,0.1491405460060667,0.3463113390566095,0.450278646506925
camelyon17,effb3,EffB3@300,efficientnet_like,0.8025890589300444,0.8024176161043928,0.8851933435164921,0.9337817511600918,3,kNN,0.1065205634067768,0.2953762868543331,0.3579373104145601
camelyon17,effb3_224,EffB3@224,efficientnet_like,0.7871400800187152,0.7924024712702324,0.91591181605219,0.8508147022239507,4,Mahalanobis,0.0130858043125543,0.255562219140617,0.2987631387118772
midog,resnet18,ResNet-18@224,resnet_like,0.4379989361429241,0.3760687510884959,0.7326721578612693,0.684021960278169,3,Mahalanobis,0.4422229752626228,0.1129930215801679,0.2316164012199254
midog,resnet50,ResNet-50@224,resnet_like,0.5124496929260255,0.5184008122035747,0.8386670194855953,0.7163032046669304,4,Mahalanobis,0.1662148424262961,0.1226071281048511,0.2134869535750593
midog,effb3,EffB3@300,efficientnet_like,0.4856791066840736,0.5332468836953104,0.6730738854139525,0.6433027631932453,4,Mahalanobis,0.7123009149440868,0.0616445842057283,0.1948492036597763
