accepted,coverage,risk
1,0.0051813471502590676,0.0
2,0.010362694300518135,0.0
3,0.015544041450777202,0.0
4,0.02072538860103627,0.0
5,0.025906735751295335,0.0
6,0.031088082901554404,0.0
7,0.03626943005181347,0.0
8,0.04145077720207254,0.0
9,0.046632124352331605,0.0
10,0.05181347150259067,0.0
11,0.05699481865284974,0.0
12,0.06217616580310881,0.0
13,0.06735751295336788,0.0
14,0.07253886010362694,0.0
15,0.07772020725388601,0.0
16,0.08290155440414508,0.0
17,0.08808290155440414,0.0
18,0.09326424870466321,0.0
19,0.09844559585492228,0.0
20,0.10362694300518134,0.0
21,0.10880829015544041,0.0
22,0.11398963730569948,0.0
23,0.11917098445595854,0.0
24,0.12435233160621761,0.0
25,0.12953367875647667,0.0
26,0.13471502590673576,0.0
27,0.13989637305699482,0.0
28,0.14507772020725387,0.0
29,0.15025906735751296,0.0
30,0.15544041450777202,0.0
31,0.16062176165803108,0.0
32,0.16580310880829016,0.0
33,0.17098445595854922,0.0
34,0.17616580310880828,0.0
35,0.18134715025906736,0.0
36,0.18652849740932642,0.0
37,0.19170984455958548,0.0
38,0.19689119170984457,0.0
39,0.20207253886010362,0.0
40,0.20725388601036268,0.0
41,0.21243523316062177,0.0
42,0.21761658031088082,0.0
43,0.22279792746113988,0.0
44,0.22797927461139897,0.0
45,0.23316062176165803,0.0
46,0.23834196891191708,0.0
47,0.24352331606217617,0.0
48,0.24870466321243523,0.0
49,0.2538860103626943,0.0
50,0.25906735751295334,0.0
51,0.26424870466321243,0.0
52,0.2694300518134715,0.0
53,0.27461139896373055,0.0
54,0.27979274611398963,0.0
55,0.2849740932642487,0.0
56,0.29015544041450775,0.0
57,0.29533678756476683,0.0
58,0.3005181347150259,0.0
59,0.30569948186528495,0.0
60,0.31088082901554404,0.0
61,0.3160621761658031,0.0
62,0.32124352331606215,0.0
63,0.32642487046632124,0.0
64,0.3316062176165803,0.0
65,0.33678756476683935,0.0
66,0.34196891191709844,0.0
67,0.3471502590673575,0.0
68,0.35233160621761656,0.0
69,0.35751295336787564,0.0
70,0.3626943005181347,0.0
71,0.36787564766839376,0.0
72,0.37305699481865284,0.0
73,0.37823834196891193,0.0
74,0.38341968911917096,0.0
75,0.38860103626943004,0.013333320617675781
76,0.39378238341968913,0.026315808296203613
77,0.39896373056994816,0.025974035263061523
78,0.40414507772020725,0.025641024112701416
79,0.40932642487046633,0.025316476821899414
80,0.41450777202072536,0.02499997615814209
81,0.41968911917098445,0.024691343307495117
82,0.42487046632124353,0.03658539056777954
83,0.43005181347150256,0.03614455461502075
84,0.43523316062176165,0.03571426868438721
85,0.44041450777202074,0.03529411554336548
86,0.44559585492227977,0.034883737564086914
87,0.45077720207253885,0.03448277711868286
88,0.45595854922279794,0.03409093618392944
89,0.46113989637305697,0.03370785713195801
90,0.46632124352331605,0.03333336114883423
91,0.47150259067357514,0.03296703100204468
92,0.47668393782383417,0.04347825050354004
93,0.48186528497409326,0.05376344919204712
94,0.48704663212435234,0.05319148302078247
95,0.49222797927461137,0.05263155698776245
96,0.49740932642487046,0.05208331346511841
97,0.5025906735751295,0.05154639482498169
98,0.5077720207253886,0.05102038383483887
99,0.5129533678756477,0.05050504207611084
100,0.5181347150259067,0.050000011920928955
101,0.5233160621761658,0.05940592288970947
102,0.5284974093264249,0.05882352590560913
103,0.533678756476684,0.05825245380401611
104,0.538860103626943,0.05769228935241699
105,0.5440414507772021,0.05714285373687744
106,0.5492227979274611,0.05660378932952881
107,0.5544041450777202,0.05607473850250244
108,0.5595854922279793,0.06481480598449707
109,0.5647668393782384,0.06422019004821777
110,0.5699481865284974,0.0727272629737854
111,0.5751295336787565,0.0720720887184143
112,0.5803108808290155,0.07142859697341919
113,0.5854922279792746,0.07964599132537842
114,0.5906735751295337,0.07894736528396606
115,0.5958549222797928,0.07826089859008789
116,0.6010362694300518,0.07758623361587524
117,0.6062176165803109,0.07692307233810425
118,0.6113989637305699,0.08474576473236084
119,0.616580310880829,0.08403360843658447
120,0.6217616580310881,0.09166663885116577
121,0.6269430051813472,0.09917354583740234
122,0.6321243523316062,0.10655736923217773
123,0.6373056994818653,0.10569107532501221
124,0.6424870466321243,0.10483872890472412
125,0.6476683937823834,0.1119999885559082
126,0.6528497409326425,0.1111111044883728
127,0.6580310880829016,0.11023622751235962
128,0.6632124352331606,0.109375
129,0.6683937823834197,0.10852712392807007
130,0.6735751295336787,0.10769230127334595
131,0.6787564766839378,0.10687023401260376
132,0.6839378238341969,0.10606062412261963
133,0.689119170984456,0.11278194189071655
134,0.694300518134715,0.11194032430648804
135,0.6994818652849741,0.1111111044883728
136,0.7046632124352331,0.11029410362243652
137,0.7098445595854922,0.10948902368545532
138,0.7150259067357513,0.1086956262588501
139,0.7202072538860104,0.10791367292404175
140,0.7253886010362695,0.1071428656578064
141,0.7305699481865285,0.10638296604156494
142,0.7357512953367875,0.11267608404159546
143,0.7409326424870466,0.11888110637664795
144,0.7461139896373057,0.11805558204650879
145,0.7512953367875648,0.11724138259887695
146,0.7564766839378239,0.11643832921981812
147,0.7616580310880829,0.11564624309539795
148,0.7668393782383419,0.11486488580703735
149,0.772020725388601,0.12080538272857666
150,0.7772020725388601,0.12000000476837158
151,0.7823834196891192,0.12582778930664062
152,0.7875647668393783,0.125
153,0.7927461139896373,0.13071894645690918
154,0.7979274611398963,0.12987011671066284
155,0.8031088082901554,0.12903225421905518
156,0.8082901554404145,0.12820512056350708
157,0.8134715025906736,0.12738853693008423
158,0.8186528497409327,0.12658226490020752
159,0.8238341968911918,0.1320754885673523
160,0.8290155440414507,0.13749998807907104
161,0.8341968911917098,0.13664597272872925
162,0.8393782383419689,0.13580244779586792
163,0.844559585492228,0.13496935367584229
164,0.8497409326424871,0.1341463327407837
165,0.8549222797927462,0.13333332538604736
166,0.8601036269430051,0.1325300931930542
167,0.8652849740932642,0.13173651695251465
168,0.8704663212435233,0.1309523582458496
169,0.8756476683937824,0.13017749786376953
170,0.8808290155440415,0.1294117569923401
171,0.8860103626943006,0.12865495681762695
172,0.8911917098445595,0.13372093439102173
173,0.8963730569948186,0.13294798135757446
174,0.9015544041450777,0.13218390941619873
175,0.9067357512953368,0.13142859935760498
176,0.9119170984455959,0.1306818127632141
177,0.917098445595855,0.12994349002838135
178,0.9222797927461139,0.12921351194381714
179,0.927461139896373,0.12849164009094238
180,0.9326424870466321,0.12777775526046753
181,0.9378238341968912,0.1270717978477478
182,0.9430051813471503,0.12637364864349365
183,0.9481865284974094,0.12568306922912598
184,0.9533678756476683,0.125
185,0.9585492227979274,0.12432432174682617
186,0.9637305699481865,0.12365591526031494
187,0.9689119170984456,0.12299466133117676
188,0.9740932642487047,0.12234044075012207
189,0.9792746113989638,0.1269841194152832
190,0.9844559585492227,0.12631577253341675
191,0.9896373056994818,0.1256544589996338
192,0.9948186528497409,0.1302083134651184
193,1.0,0.12953370809555054
