domain,backbone,draw,n_sub,auroc,cond_prec,shrinkage
skin_isic_pad,resnet18,0,1896,0.9340561966476819,759712754167.4128,0.0020015833423663344
skin_isic_pad,resnet18,1,1896,0.9252537687649094,27591782298.907097,0.0019180428758586098
skin_isic_pad,resnet18,2,1896,0.9385273069170308,3238082666.9824233,0.0019334768716184375
skin_isic_pad,resnet18,3,1896,0.9345296879016222,224447084664.97977,0.0018997008398790813
skin_isic_pad,resnet18,4,1896,0.9350279810783876,3086467981.805678,0.0019279926773975566
skin_isic_pad,resnet18,5,1896,0.9256370712085751,60086681765.45813,0.0019392532091489696
skin_isic_pad,resnet18,6,1896,0.9295873410985898,14221837762.018694,0.0019030103833022676
skin_isic_pad,resnet18,7,1896,0.9388204205504223,32449939927.38598,0.0019091606226511214
skin_isic_pad,resnet18,8,1896,0.9369895877018539,6160228898.78823,0.001899723863199172
skin_isic_pad,resnet18,9,1896,0.9338352340625099,6740550970.669608,0.0019419547638792986
skin_isic_pad,resnet18,10,1896,0.9315128721979464,12239655711.68925,0.0019093440402302598
skin_isic_pad,resnet18,11,1896,0.9292491330600612,4390240777.073377,0.001993064359836198
skin_isic_pad,resnet18,12,1896,0.929555775014994,3466912685.469823,0.0019457571672985806
skin_isic_pad,resnet18,13,1896,0.9321171372267842,1023958303.5137689,0.001980624117070339
skin_isic_pad,resnet18,14,1896,0.9348453487375821,88413763700.76079,0.001970073328343545
skin_isic_pad,resnet18,15,1896,0.932229873239627,2653131844.459223,0.0019629288792080584
skin_isic_pad,resnet18,16,1896,0.9410841596883074,4527340807.354926,0.0019067826492776573
skin_isic_pad,resnet18,17,1896,0.9305050122431311,2943700284.2959957,0.0019402303900579374
skin_isic_pad,resnet18,18,1896,0.9276302439156373,3792220371.4629626,0.001932152441811311
skin_isic_pad,resnet18,19,1896,0.9290529723977146,1420595895.6511629,0.0018787340432405884
skin_isic_pad,resnet50,0,1896,0.9685353788155503,42737758598.87572,0.0021144103428868896
skin_isic_pad,resnet50,1,1896,0.9683572559152586,300684349560.73474,0.00205908853265008
skin_isic_pad,resnet50,2,1896,0.9648083262309646,42166225969.062035,0.00208768323399847
skin_isic_pad,resnet50,3,1896,0.9671239239347574,33661544213.608788,0.002039046574971188
skin_isic_pad,resnet50,4,1896,0.9679130760246576,586875967240.9822,0.0020881443980379634
skin_isic_pad,resnet50,5,1896,0.9672479335488846,212703302453.48453,0.002075570932063554
skin_isic_pad,resnet50,6,1896,0.9642153348034112,82744513917.19945,0.0021022426078444434
skin_isic_pad,resnet50,7,1896,0.9632931542183562,249286907094.78726,0.002001698065151021
skin_isic_pad,resnet50,8,1896,0.9685398882560641,86186093222.70433,0.0020401116929235105
skin_isic_pad,resnet50,9,1896,0.9680957083654631,64511333542.590225,0.0019915211926483335
skin_isic_pad,resnet50,10,1896,0.9680348309185278,27242488126.326683,0.0020733354989695553
skin_isic_pad,resnet50,11,1896,0.9679649345905654,53171695535.16692,0.0020363521189330925
skin_isic_pad,resnet50,12,1896,0.9678138683333558,53804745833.63717,0.0020708642722173363
skin_isic_pad,resnet50,13,1896,0.9714372037861262,85390326806.87617,0.0020219337327083836
skin_isic_pad,resnet50,14,1896,0.9713019205707148,33143986912.31578,0.002030371313208338
skin_isic_pad,resnet50,15,1896,0.9671397069765554,57292487915.72929,0.0020787686983320982
skin_isic_pad,resnet50,16,1896,0.9672659713109395,105416959844.47786,0.0021224835554310615
skin_isic_pad,resnet50,17,1896,0.9650946757035854,42328104827.22906,0.0021293567358215593
skin_isic_pad,resnet50,18,1896,0.9632503145334758,150319084599.62842,0.002070500290291194
skin_isic_pad,resnet50,19,1896,0.9680709064426376,115698570045.9534,0.0020158906088961225
skin_isic_pad,effb3,0,1896,0.9451787316747611,9334882858.898184,0.010842220468390337
skin_isic_pad,effb3,1,1896,0.9502090125678107,14083930910.322165,0.01172326837788411
skin_isic_pad,effb3,2,1896,0.9486284536677534,10675533424.108257,0.011321785176123481
skin_isic_pad,effb3,3,1896,0.9462046293916313,6119998218.013825,0.011173310844343377
skin_isic_pad,effb3,4,1896,0.9447435706651875,5533137375.981458,0.01100127696662986
skin_isic_pad,effb3,5,1896,0.9494987756869006,29667779901.153816,0.010806736503188835
skin_isic_pad,effb3,6,1896,0.9459656290444045,8712412941.619772,0.011430731484282383
skin_isic_pad,effb3,7,1896,0.949379275513287,7545985875.615133,0.010840491215094315
skin_isic_pad,effb3,8,1896,0.9496949363492471,10190492367.951025,0.01162611783387675
skin_isic_pad,effb3,9,1896,0.943659050221639,7652940957.836629,0.011383988556890571
skin_isic_pad,effb3,10,1896,0.9450975617455142,8171836482.778097,0.011356962986145571
skin_isic_pad,effb3,11,1896,0.9465653846327285,11166929420.589893,0.011386318435213484
skin_isic_pad,effb3,12,1896,0.9435102386846864,13110891945.796017,0.011207846346290648
skin_isic_pad,effb3,13,1896,0.9445383911218134,24574307882.24877,0.011121441937714869
skin_isic_pad,effb3,14,1896,0.9487862840857335,22417161527.91084,0.011276808766352547
skin_isic_pad,effb3,15,1896,0.9490951807609231,13876163199.434849,0.011111561742648513
skin_isic_pad,effb3,16,1896,0.9449870804529282,18301242866.52082,0.0115060779382264
skin_isic_pad,effb3,17,1896,0.9475010935393245,50238474737.52492,0.011257354465014201
skin_isic_pad,effb3,18,1896,0.9478054807740004,27925658279.26892,0.0113438953442633
skin_isic_pad,effb3,19,1896,0.9481662360150976,66920641015.82203,0.011400369558717465
camelyon17,resnet18,0,1896,0.9469197226046089,6.267563029043922e+57,0.0001973632541018726
camelyon17,resnet18,1,1896,0.9479528967756949,4.296219551661362e+57,0.0001981577814151984
camelyon17,resnet18,2,1896,0.9376449079408378,4.7667381761922106e+57,0.00019820443157372001
camelyon17,resnet18,3,1896,0.93612030457801,3.139797155031706e+58,0.0002020987738700506
