N_train,AUROC,FPR95
100,0.8998904205955167,0.5522193211488251
500,0.9339186587120136,0.3738033072236728
1000,0.9493116339055813,0.29808529155787644
2500,0.947749112767579,0.2554395126196693
5000,0.9514964578344765,0.2719756309834639
