domain,backbone,family,method,auroc,rank
midog,effb3,efficientnet_like,ReAct,0.5524347881263829,5.0
midog,effb3,efficientnet_like,Mahalanobis,0.6730738854139524,1.0
midog,effb3,efficientnet_like,kNN,0.6433027631932453,2.0
midog,efficientnet_v2_s,efficientnet_like,MSP,0.4931213809620886,7.0
midog,efficientnet_v2_s,efficientnet_like,Energy,0.5078985987598235,6.0
midog,efficientnet_v2_s,efficientnet_like,ELogitNorm,0.5321256485410443,3.0
midog,efficientnet_v2_s,efficientnet_like,ViM,0.5103159034482199,4.0
midog,efficientnet_v2_s,efficientnet_like,ReAct,0.5101721207342774,5.0
midog,efficientnet_v2_s,efficientnet_like,Mahalanobis,0.5808646133865082,1.0
midog,efficientnet_v2_s,efficientnet_like,kNN,0.5590069407223697,2.0
midog,mobilenet_v3_large,lightweight,MSP,0.4692541254838321,5.0
midog,mobilenet_v3_large,lightweight,Energy,0.4581389791562317,7.0
midog,mobilenet_v3_large,lightweight,ELogitNorm,0.4834008594561098,4.0
midog,mobilenet_v3_large,lightweight,ViM,0.5931327215705123,3.0
midog,mobilenet_v3_large,lightweight,ReAct,0.4662812659899203,6.0
midog,mobilenet_v3_large,lightweight,Mahalanobis,0.7143347990619695,1.0
midog,mobilenet_v3_large,lightweight,kNN,0.6743773803464556,2.0
midog,regnet_y_3_2gf,nas_designed,MSP,0.5531857659163415,7.0
midog,regnet_y_3_2gf,nas_designed,Energy,0.6091587563672791,6.0
midog,regnet_y_3_2gf,nas_designed,ELogitNorm,0.6422368810086662,4.0
midog,regnet_y_3_2gf,nas_designed,ViM,0.6550585188895384,3.0
midog,regnet_y_3_2gf,nas_designed,ReAct,0.6409759133577517,5.0
midog,regnet_y_3_2gf,nas_designed,Mahalanobis,0.9441481785497792,1.0
midog,regnet_y_3_2gf,nas_designed,kNN,0.904703787358192,2.0
midog,resnet18,resnet_like,MSP,0.437998936142924,4.0
midog,resnet18,resnet_like,Energy,0.3760687510884959,7.0
midog,resnet18,resnet_like,ELogitNorm,0.3767140857106984,6.0
midog,resnet18,resnet_like,ViM,0.6091054285062393,3.0
midog,resnet18,resnet_like,ReAct,0.4111098810451181,5.0
midog,resnet18,resnet_like,Mahalanobis,0.7326721578612693,1.0
midog,resnet18,resnet_like,kNN,0.684021960278169,2.0
midog,resnet50,resnet_like,MSP,0.5124496929260255,7.0
midog,resnet50,resnet_like,Energy,0.5184008122035747,5.0
midog,resnet50,resnet_like,ELogitNorm,0.5157411695137444,6.0
midog,resnet50,resnet_like,ViM,0.6611378950480694,3.0
midog,resnet50,resnet_like,ReAct,0.5305696900638719,4.0
midog,resnet50,resnet_like,Mahalanobis,0.8386670194855953,1.0
midog,resnet50,resnet_like,kNN,0.7163032046669304,2.0
skin_isic_pad,convnext_tiny,modern_cnn,MSP,0.7548397570313451,4.0
skin_isic_pad,convnext_tiny,modern_cnn,Energy,0.6734218085562125,6.0
skin_isic_pad,convnext_tiny,modern_cnn,ELogitNorm,0.7392032720500368,5.0
skin_isic_pad,convnext_tiny,modern_cnn,ViM,0.8038100262900382,3.0
skin_isic_pad,convnext_tiny,modern_cnn,ReAct,0.5472837385065635,7.0
