backbone,scope,corruption_type,n,spearman_abs_logit_gap,spearman_abs_logit_gap_ci_lo,spearman_abs_logit_gap_ci_hi,spearman_abs_logit_gap_p,spearman_delta_auroc,spearman_delta_auroc_ci_lo,spearman_delta_auroc_ci_hi,spearman_delta_auroc_p
effb3,pooled,ALL,75,0.5352338707041815,0.3434711279057854,0.6886006594454438,7.520831281766674e-07,0.31661108543689176,0.08141312898106606,0.5384579481546047,0.0056495191615370775
effb3,per_corruption,brightness,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
effb3,per_corruption,contrast,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
effb3,per_corruption,defocus_blur,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
effb3,per_corruption,elastic_transform,5,0.9999999999999999,,,1.4042654220543672e-24,0.8999999999999998,,,0.03738607346849874
effb3,per_corruption,fog,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
effb3,per_corruption,frost,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
effb3,per_corruption,gaussian_noise,5,0.9999999999999999,,,1.4042654220543672e-24,-0.9999999999999999,,,1.4042654220543672e-24
effb3,per_corruption,glass_blur,5,0.49999999999999994,,,0.39100221895577053,-0.49999999999999994,,,0.39100221895577053
effb3,per_corruption,impulse_noise,5,0.9999999999999999,,,1.4042654220543672e-24,-0.3,,,0.6238376647810728
effb3,per_corruption,jpeg_compression,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
effb3,per_corruption,motion_blur,5,0.9999999999999999,,,1.4042654220543672e-24,0.8999999999999998,,,0.03738607346849874
effb3,per_corruption,pixelate,5,0.9999999999999999,,,1.4042654220543672e-24,0.7,,,0.1881204043741873
effb3,per_corruption,shot_noise,5,0.9999999999999999,,,1.4042654220543672e-24,-0.8999999999999998,,,0.03738607346849874
effb3,per_corruption,snow,5,0.9999999999999999,,,1.4042654220543672e-24,0.6,,,0.28475697986529375
effb3,per_corruption,zoom_blur,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
resnet18,pooled,ALL,75,0.47295686215194566,0.26588496765313285,0.6537857823025683,1.8283943816328674e-05,0.37845259043281837,0.1652323185357326,0.5817889566188743,0.0008142690370197733
resnet18,per_corruption,brightness,5,0.9999999999999999,,,1.4042654220543672e-24,0.9999999999999999,,,1.4042654220543672e-24
