Camelyon OOD-triage coverage@risk10% MSP, official n=8. Not a new official W.
Locked Phao B n=4 table is unchanged. This is the leftover family span.
AUROC order: densenet121 > convnext_tiny > effb3 > regnet_y_3_2gf > efficientnet_v2_s_224 > mobilenet_v3_large > resnet18 > resnet50
coverage@risk10% order: mobilenet_v3_large > efficientnet_v2_s_224 > regnet_y_3_2gf > convnext_tiny > resnet50 > resnet18 > effb3 > densenet121
disagree=True
Do not write AUROC-winner=utility-loser as a law.

domain,model,protocol,method,ood_auroc,aurc,coverage_at_risk10,coverage_at_risk15,full_risk,n
camelyon17,densenet121,ood_triage,msp,0.8826714444722252,0.3045687764752376,0.07842076798269335,0.12494415312624921,0.4366520093117314,85054
camelyon17,convnext_tiny,ood_triage,msp,0.8456347543899265,0.12126943413363721,0.36989442001551953,0.5017518282502881,0.21761469184282922,85054
camelyon17,effb3,ood_triage,msp,0.8025890589300444,0.29537628685433315,0.10652056340677687,0.1263197498060056,0.3579373104145601,85054
camelyon17,regnet_y_3_2gf,ood_triage,msp,0.7835737659603085,0.11448460411170065,0.4402614809415195,0.6138453217955652,0.24768970301220405,85054
camelyon17,efficientnet_v2_s_224,ood_triage,msp,0.7782816365375451,0.051127326941229054,0.7798222305829238,0.9293272509229431,0.17415994544642233,85054
camelyon17,mobilenet_v3_large,ood_triage,msp,0.7705243528524107,0.029240820202712525,0.9035201166317869,1.0,0.1350201048745503,85054
camelyon17,resnet18,ood_triage,msp,0.5743335363500264,0.34218107186213015,0.14456698097679122,0.18043830977966938,0.4985891316105062,85054
camelyon17,resnet50,ood_triage,msp,0.5149744715920921,0.34631133905660955,0.14914054600606674,0.17513579608248878,0.45027864650692506,85054
