domain,backbone,n_full,d,n_over_d_full,auroc_full_csv,auroc_full_refit,cond_prec_full,shrinkage_full,n_target,n_draws,subsampled,n_sub,auroc_sub_mean,auroc_sub_std,auroc_sub_min,auroc_sub_max,cond_prec_sub_mean,cond_prec_sub_std,shrinkage_sub_mean,note
skin_isic_pad,resnet18,10015,512,19.560546875,0.934750650486794,0.9347483957665372,1534759926.551443,0.0003692857434810874,1896,20,True,1896,0.9325023561826683,0.004343380441414871,0.9252537687649094,0.9410841596883074,63130346574.30697,171926126231.76883,0.0019346795432837662,
skin_isic_pad,resnet50,10015,2048,4.89013671875,0.9665692627515704,0.9665692627515704,2144989903301.5535,0.0003938083671911085,1896,20,True,1896,0.9672752156639925,0.002215408737837513,0.9632503145334758,0.9714372037861262,121268322313.06848,133436011818.49226,0.00206246871989921,
skin_isic_pad,effb3,10015,1536,6.520182291666667,0.9510207118602796,0.9510207118602796,10608568724.996359,0.0021364226720563453,1896,20,True,1896,0.9469607498297685,0.00216792227751439,0.9435102386846864,0.9502090125678107,18311020109.46977,15755544756.763025,0.011255928247364549,
camelyon17,resnet18,302436,512,590.6953125,0.9557756731031954,0.9557756731031954,16954711495.3701,1.2492989036907664e-06,1896,20,True,1896,0.9403918664880726,0.006154189860005359,0.9262293755088437,0.9487006240906535,1.1823173217680994e+58,1.1566331888044861e+58,0.00019860742864744504,
camelyon17,resnet50,302436,2048,147.673828125,0.8955319391777833,0.8955319391777833,138291253266.08023,1.4933775476938506e-06,1896,20,True,1896,0.8890224578423191,0.006317405567761374,0.8787557393952319,0.9053718314702855,inf,,0.00023604499846658868,
camelyon17,effb3,302436,1536,196.8984375,0.8851933435164921,0.8851933435164921,56980081379.60108,2.169775516420981e-06,1896,20,True,1896,0.8714315883206135,0.007011322034590573,0.8570298332240895,0.8838256397050764,6.004647592567665e+26,5.180593896015526e+26,0.00034599035481346416,
midog,resnet18,1896,512,3.703125,0.7326721578612693,0.7326721578612693,12271.290975429436,0.0030686901236051016,1896,20,False,1896,0.7326721578612693,0.0,0.7326721578612693,0.7326721578612693,12271.290975429436,0.0,0.0030686901236051016,native MIDOG train size; not subsampled
midog,resnet50,1896,2048,0.92578125,0.844762596513303,0.844762596513303,531535268054.93494,0.007517757327919823,1896,20,False,1896,0.844762596513303,0.0,0.844762596513303,0.844762596513303,531535268054.93494,0.0,0.007517757327919823,native MIDOG train size; not subsampled
midog,effb3,1896,1536,1.234375,0.6730738854139525,0.6730738854139524,9786138064.604017,0.002418933303141761,1896,20,False,1896,0.6730738854139524,0.0,0.6730738854139524,0.6730738854139524,9786138064.604017,0.0,0.002418933303141761,native MIDOG train size; not subsampled
