N_train,AUROC,FPR95
100,0.9417425380033099,0.2554395126196693
500,0.9661994886294457,0.16100957354221063
1000,0.9660033279670991,0.15752828546562228
2500,0.9649571377679171,0.13272410791993036
5000,0.9670472634460243,0.1279373368146214
