backbone,seed,id_split,ood_split,mahalanobis_auroc,msp_auroc,auroc_delta_maha_minus_msp,cvid_gap_vs_id,cvid_gap_vs_id_CI_low,cvid_gap_vs_id_CI_high,logit_gap_mean_gap_vs_id,logit_gap_mean_gap_vs_id_CI_low,logit_gap_mean_gap_vs_id_CI_high,feature_silhouette_cosine,silhouette_perm_p_value,n_id,n_ood,logit_gap_estimator,cvid_status,source,arch,input_size
resnet18,42,test_1a,csid_1b+1c,0.7326721578612693,0.437998936142924,0.29467322171834526,-0.06371105224737544,-0.09674747404448088,-0.031298502194364294,0.6639389020690327,0.4053204147764142,0.9114411784272148,0.1649158828408125,0.000999000999000999,251,5902,trim_1pct,appendix,trained_imagenet_init,resnet18,224.0
resnet50,42,test_1a,csid_1b+1c,0.8386670194855953,0.5124496929260255,0.3262173265595698,-0.012354626761731269,-0.041039606461994435,0.015510363860508069,-0.07183484130714213,-0.38957032255978663,0.2705060345852509,0.1164968788574421,0.000999000999000999,251,5902,trim_1pct,appendix,trained_imagenet_init,resnet50,224.0
effb3,42,test_1a,csid_1b+1c,0.6730738854139524,0.4856791066840736,0.1873947787298788,0.003552748422892993,-0.03180645058821986,0.039615591523688466,-0.19340116381532546,-0.39810415683373335,0.01606642320738133,0.03799313658121739,0.000999000999000999,251,5902,trim_1pct,appendix,trained_imagenet_init,effb3,300.0
densenet121,42,test_1a,csid_1b+1c,0.9103767917148756,0.4465772963719503,0.4637994953429252,-0.1018466958268521,-0.1313424386505155,-0.0747848226518949,0.2855240759884072,0.0806065515146295,0.498669397683565,0.1607210897512821,0.0009990009990009,251,5902,trim_1pct,appendix,trained_imagenet_init,densenet121,224.0
convnext_tiny,42,test_1a,csid_1b+1c,0.8006503298901986,0.5206071680745672,0.2800431618156314,0.0015564561851955,-0.0199713869324888,0.02244478721099,-0.2768061460763844,-0.4987637054055088,-0.0725134888499395,0.0848506969600883,0.0009990009990009,251,5902,trim_1pct,appendix,trained_imagenet_init,convnext_tiny,224.0
mobilenet_v3_large,42,test_1a,csid_1b+1c,0.7143347990619695,0.4692541254838321,0.2450806735781373,0.0031356283006006,-0.0216417966954274,0.0288375971465714,0.1190776656734127,-0.0486102187322749,0.2936858945976663,0.0739690626506887,0.0009990009990009,251,5902,trim_1pct,appendix,trained_imagenet_init,mobilenet_v3_large,224.0
regnet_y_3_2gf,42,test_1a,csid_1b+1c,0.9441481785497792,0.5531857659163415,0.3909624126334377,-0.0034701541891559,-0.0353987076966136,0.0234583937592924,-0.8089260075404967,-1.0934025035738606,-0.5155707486367165,0.1486709518516341,0.0009990009990009,251,5902,trim_1pct,appendix,trained_imagenet_init,regnet_y_3_2gf,224.0
efficientnet_v2_s_224,42,test_1a,csid_1b+1c,0.5808646133865082,0.4931213809620886,0.0877432324244195,0.0196554738285036,-0.0123480563369927,0.0507532689442803,-0.0950027663639758,-0.3389312673637963,0.1409580805208069,0.0376157498363275,0.0009990009990009,251,5902,trim_1pct,appendix,trained_imagenet_init,efficientnet_v2_s,224.0
