Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.5206071680745672,0.9664520501524907,0.5830956995487213,0.48074804307001073,0.5606543834826738,0.9293459844120637,0.9778041341917993
energy,0.5601740783393029,0.9154523890206709,2.1824378967285156,0.5241702961113863,0.5972296176189852,0.889181633344629,0.960352422907489
react_energy,0.5223740753691436,0.9613690274483226,1.1224740147590637,,,,
logit_norm,0.6020506250160321,0.9274822094205354,3.2488144636154175,,,,
mahalanobis,0.8006503298901986,0.6031853608946119,-36.14774131774902,0.7733656023145641,0.8259937883167432,0.5575991189427313,0.7258725855642155
knn,0.6549383624431451,0.8161640121992545,-0.4527715742588043,0.6195054752187454,0.6874837822549179,0.7576923076923077,0.9227931209759402
vim,0.7098424330465329,0.7214503558115893,-15.582062244415283,,,,
