Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.4856791066840736,0.931209759403592,0.5194801986217499,0.44638415163473516,0.5241976688299328,0.9055997966790919,0.9461199593358184
energy,0.5332468836953103,0.909861064046086,1.344712257385254,0.4981113836757342,0.5692195973813995,0.8783124364622162,0.9530667570315148
react_energy,0.5524347881263829,0.9227380548966452,1.2735329866409302,,,,
logit_norm,0.5777925235688894,0.9025753981701118,1.3821797370910645,,,,
mahalanobis,0.6730738854139524,0.8415791257200949,-36.77577018737793,0.6392270970337559,0.7071961223219626,0.756523212470349,0.934941545238902
knn,0.6433027631932453,0.9125720094883091,-0.5239836275577545,0.6093851803899278,0.6791448742475034,0.8174898339545916,0.9605303287021348
vim,0.5809834197604702,0.9298542866824805,-58.49578285217285,,,,
