Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.7533932894710401,0.7049168763373856,0.9951716601848603,0.7505107194590086,0.7563030121570667,0.6966729959790251,0.7133238883532815
energy,0.7563347239220077,0.7044348296376419,2.6958555221557616,0.7534391150829356,0.7592446673671424,0.6962041761704328,0.7125952336162907
react_energy,0.5480537953060347,0.72026007007313,1.641816884279251,,,,
logit_norm,0.7534351874135741,0.7049051191008066,3.767927587032318,,,,
mahalanobis,0.9817804862692152,0.09829049780139676,-28.863679122924804,0.9811494320499761,0.9824401867667859,0.0943747501587227,0.10268799821290005
knn,0.9720826431854145,0.12439156300703083,-0.004488630034029484,0.971198038492681,0.9729412069260185,0.11940443718108497,0.12961177604815763
vim,0.8661380127069522,0.4808474616126226,-6.226406145095825,,,,
