split,n_samples,logit_norm_mean,logit_norm_std,logit_norm_median,cvid_logit_norm,logit_gap_mean,logit_gap_std,feature_silhouette_cosine,silhouette_n_id,silhouette_n_ood,silhouette_perm_p_value,silhouette_perm_null_mean,silhouette_perm_null_std,cvid_gap_vs_id,logit_norm_mean_gap_vs_id,logit_gap_mean_gap_vs_id,cvid_gap_vs_id_CI_low,cvid_gap_vs_id_CI_high,logit_gap_mean_gap_vs_id_CI_low,logit_gap_mean_gap_vs_id_CI_high
ID,33560,8.083021261396604,1.2887336389061779,8.381558062233388,0.13656541162586905,11.501109565826635,1.5729173257873958,0.13849448485692697,2500,2500,0.000999000999000999,1.1274830405375379e-05,0.0003416391289233596,0.0,0.0,0.0,,,,
OOD,85054,5.812015260866062,2.2607357203256466,6.506922951192976,0.37597527039840045,8.23236438135609,3.128059904885332,0.13849448485692697,2500,2500,0.000999000999000999,1.1274830405375379e-05,0.0003416391289233596,0.2394098587725314,-2.2710060005305426,-3.2687451844705446,0.23586275326974326,0.2427446360375018,-3.2977238538982387,-3.2404858077735113
