Method,AUROC,FPR95,Threshold,AUROC_CI_low,AUROC_CI_high,FPR95_CI_low,FPR95_CI_high
msp,0.51541487276554,0.8998283443459449,0.9958832949399948,0.5118909102456763,0.5186965310763942,0.8949961201119289,0.904555341312578
energy,0.5062280608073626,0.9017682883814988,2.8173052787780763,0.5026959514789636,0.5094774582253402,0.8972767300773626,0.9067542384837867
react_energy,0.6769820816071052,0.8684130082065511,2.71406375169754,,,,
logit_norm,0.5152651102350934,0.8998988877654196,3.88161780834198,,,,
mahalanobis,0.9434264167463071,0.2534742634091283,-30.45229368209839,0.9421325787721537,0.9447125119486947,0.24545494626942882,0.2598117078561855
knn,0.920664378352021,0.3162696639781786,-0.0040217058034613725,0.9190024054085124,0.9221191404320421,0.30735591506572296,0.3226926423213488
vim,0.821740761068205,0.4084346415218567,-8.28988094329834,,,,
