model,path,exists,msp,energy,mahalanobis,knn
resnet18@224,outputs/reports/camelyon17/frac1/seed42/resnet18_score_comparison.csv,True,0.5743335363500264,0.5691424314029707,0.9557756731031954,0.9355794932409622
resnet50@224,outputs/reports/camelyon17/frac1/seed42/resnet50_score_comparison.csv,True,0.5149744715920921,0.5121590070325651,0.8955319391777833,0.8660602944303518
effb3@300,outputs/reports/camelyon17/frac1/seed42/effb3_score_comparison.csv,True,0.8025890589300444,0.8024176161043928,0.8851933435164921,0.9337817511600918
effb3@224,outputs/reports/camelyon17/frac1/seed42/effb3_224_score_comparison.csv,True,0.7871400800187152,0.7924024712702324,0.91591181605219,0.8508147022239507
