backbone,seed,epoch,id_val_acc,msp_auroc
convnext_tiny,42,1,0.9877234803337306,0.7219738486337208
convnext_tiny,42,2,0.9897794994040524,0.7973668556368018
convnext_tiny,42,3,0.9875148986889154,0.7280234071936293
convnext_tiny,42,4,0.9895113230035757,0.7572102043326439
convnext_tiny,42,5,0.9887961859356377,0.7557359899773973
convnext_tiny,42,6,0.989958283671037,0.7667956924119692
convnext_tiny,42,7,0.9926698450536353,0.7798581036423806
convnext_tiny,42,8,0.99365315852205,0.760519760628549
convnext_tiny,42,9,0.9938319427890345,0.822912930754529
convnext_tiny,42,10,0.9944278903456496,0.8197879777869786
