backbone,seed,epoch,id_val_acc,msp_auroc
mobilenet_v3_large,42,1,0.9892133492252682,0.7911050947217071
mobilenet_v3_large,42,2,0.9912395709177593,0.7146480464223346
mobilenet_v3_large,42,3,0.9913289630512515,0.7550066426284663
mobilenet_v3_large,42,4,0.9927294398092967,0.7912762283768795
mobilenet_v3_large,42,5,0.9912097735399285,0.7567769077741903
mobilenet_v3_large,42,6,0.9935637663885578,0.7992194822216709
mobilenet_v3_large,42,7,0.9929082240762813,0.7376099872665904
mobilenet_v3_large,42,8,0.9948152562574494,0.6612021478719556
mobilenet_v3_large,42,9,0.9949046483909416,0.737444684584172
mobilenet_v3_large,42,10,0.9948450536352801,0.7315457228770852
