backbone,seed,epoch,id_val_acc,msp_auroc
efficientnet_v2_s,42,1,0.9879618593563766,0.78102305713207
efficientnet_v2_s,42,2,0.9847139451728248,0.7783951635871629
efficientnet_v2_s,42,3,0.9921036948748511,0.8043506963801417
efficientnet_v2_s,42,4,0.9927890345649583,0.8827330562806164
efficientnet_v2_s,42,5,0.9932657926102503,0.8178503333491871
efficientnet_v2_s,42,6,0.9934445768772348,0.880634954290975
efficientnet_v2_s,42,7,0.9953516090584028,0.8733147646185822
efficientnet_v2_s,42,8,0.9951430274135876,0.8658463666761743
efficientnet_v2_s,42,9,0.9956197854588796,0.8999220937687684
efficientnet_v2_s,42,10,0.9960667461263408,0.8725039684527138
