backbone,seed,epoch,id_val_acc,msp_auroc
regnet_y_3_2gf,42,1,0.9902264600715137,0.7456229603681912
regnet_y_3_2gf,42,2,0.9915375446960667,0.704649924882609
regnet_y_3_2gf,42,3,0.9893623361144219,0.73841355602511
regnet_y_3_2gf,42,4,0.9905840286054827,0.7716333759134946
regnet_y_3_2gf,42,5,0.9918951132300358,0.8221696353502184
regnet_y_3_2gf,42,6,0.9946960667461263,0.8823255885071457
regnet_y_3_2gf,42,7,0.9949046483909416,0.7657474785422025
regnet_y_3_2gf,42,8,0.9960667461263408,0.8128485796431422
regnet_y_3_2gf,42,9,0.9962455303933254,0.8039899094953432
regnet_y_3_2gf,42,10,0.9966328963051252,0.8052791628303836
