[skin/resnet18] cvid -0.1204108709925119 -> 0.0592 | logit_gap -2.584519909262405 -> -2.5845
[skin/resnet50] cvid -0.0404327454049427 -> 0.1439 | logit_gap -3.052868180227853 -> -3.0529
[skin/effb3] cvid -0.1076992524627697 -> 0.0362 | logit_gap -2.359987364215404 -> -2.3600
[cifar_svhn/resnet18] cvid 0.054938107128444 -> 0.0675 | logit_gap -7.42418241264651 -> -7.4242
[cifar_svhn/resnet50] cvid 0.0992244550560643 -> 0.1183 | logit_gap -7.49763606170023 -> -7.4976
[cifar_svhn/effb3] cvid 0.1985743234695332 -> 0.2749 | logit_gap -6.783074150110015 -> -6.7831
[camelyon17/resnet18] cvid 0.1837631937686453 -> 0.1597 | logit_gap -5.435292355367545 -> -5.4353
[camelyon17/resnet50] cvid 0.0370951700739135 -> 0.0464 | logit_gap -5.680965596875731 -> -5.6810
[camelyon17/effb3] cvid 0.1010956770780043 -> 1.7930 | logit_gap -2.1017418739307807 -> -2.1017

Wrote outputs/reports/robust_dispersion_ablation.csv
    domain backbone  cvid_gap_new  logit_gap_new  cvid_gap_CI_low  cvid_gap_CI_high  logit_gap_CI_low  logit_gap_CI_high  silhouette  cvid_gap_old  logit_gap_old  cvid_delta  logit_gap_delta
      skin resnet18      0.059181      -2.584520        -0.022572          0.142935         -3.108373          -2.117146    0.155303     -0.120411      -2.584520    0.179592              0.0
      skin resnet50      0.143887      -3.052868         0.075246          0.215540         -3.770223          -2.414494    0.153768     -0.040433      -3.052868    0.184319              0.0
      skin    effb3      0.036173      -2.359987        -0.033739          0.101376         -2.858401          -1.899634    0.086272     -0.107699      -2.359987    0.143872              0.0
cifar_svhn resnet18      0.067486      -7.424182         0.063564          0.070897         -7.491199          -7.354348    0.196917      0.054938      -7.424182    0.012548              0.0
cifar_svhn resnet50      0.118259      -7.497636         0.115373          0.121094         -7.556051          -7.447014    0.233550      0.099224      -7.497636    0.019035              0.0
cifar_svhn    effb3      0.274937      -6.783074         0.271371          0.278779         -6.822846          -6.744078    0.174118      0.198574      -6.783074    0.076362              0.0
camelyon17 resnet18      0.159726      -5.435292         0.155068          0.164202         -5.497428          -5.372975    0.155694      0.183763      -5.435292   -0.024037              0.0
camelyon17 resnet50      0.046445      -5.680966         0.042131          0.050634         -5.748632          -5.611501    0.140514      0.037095      -5.680966    0.009350              0.0
camelyon17    effb3      1.792973      -2.101742         1.494772          2.120517         -2.353153          -1.808065    0.089678      0.101096      -2.101742    1.691877              0.0
